respondent_id,age_group,constituency_code,turnout_2022,gender,education_level,area_type,swedish_or_foreign_background,marital_status,home_class_identity,language_spoken_at_home,household_income,past_vote,vote_in_2018,interest_in_politics,social_media_news_frequency,understands_political_issues,trust_parliament,government_job_past_4_years,government_covid_handling,satisfied_with_democracy,trust_in_election_administration,party_attachment,party_attachment_strength,eu_attitude,nato_attitude,women_in_parliament_pct_opinion,fairness_of_society,political_system_healthcare,current_economic_situation,economic_situation_change,employment_sector,employment_type,hours_per_week,democracy_preferable,courts_stop_government,strong_leader_bends_rules,women_representation_gone_too_far,business_leaders_better,independent_experts_better,citizens_referendums_better,policy_lower_taxes,policy_reduce_income_differences,policy_private_healthcare,policy_harsher_prison_sentences,policy_fewer_refugees,policy_no_profit_welfare,policy_reduce_defense,policy_nato_membership,policy_euro,policy_raise_fuel_taxes,policy_abolish_rut,policy_abolish_nuclear,policy_school_grades_conduct,policy_redistribute_municipalities,policy_visitation_zones,policy_remove_sick_day,trust_government,trust_judiciary,trust_scientists,trust_political_parties,trust_traditional_media,trust_social_media,trust_election_authority,democracy_scale_sweden,vote_makes_difference,self_leftright_placement,election_fairness,like_centre_party,like_moderate_party,like_left_party,like_liberals,like_social_democrats,like_green_party,like_christian_democrats,like_sweden_democrats,leftright_liberals,leftright_social_democrats,leftright_moderate_party,leftright_left_party,leftright_centre_party,leftright_green_party,leftright_christian_democrats,leftright_sweden_democrats,aim_environmental_society,aim_multicultural_society,aim_hbtq_rights,aim_gender_power_reallocation,aim_civic_organizations,days_news_svt,days_news_tv4,days_news_radio,days_newspapers,days_online_news,days_social_media,better_economic_crisis_leader,better_health_crisis_leader,municipality_code,municipality_name
2361,71-104,2.0,Voted,Men,"Primary school, shorter than 9 years",Larger town,Swedish background,Widow/widower,White-collar middle-class home,Swedish,200 001 – 300 000,Moderate Party (M),The Liberals (L),Somewhat interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Somewhat agree,Trust a lot,Bra,Bra,Very satisfied,Mycket stort förtroende,Yes,Ganska nära,Very positive,Fairly positive,Andelen kvinnor i riksdagen är bra som den är,Quite fairly,Quite well,Fairly good,Somewhat deteriorated,Privat,Jag är egen företagare,Full time,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither good nor bad proposal,Fairly good proposal,Fairly good proposal,Very good proposal,Neither good nor bad proposal,Fairly bad proposal,Very bad proposal,Very good proposal,Neither good nor bad proposal,Fairly bad proposal,Fairly bad proposal,Fairly bad proposal,Fairly good proposal,Neither good nor bad proposal,Fairly good proposal,Fairly bad proposal,Trust a lot,Trust somewhat,Trust a lot,Inte särskilt stort förtroende,Trust a lot,Inte särskilt stort förtroende,Trust a lot,,4.0,9.0,,0.0,,-3.0,3.0,3.0,0.0,0.0,,8.0,1.0,,,4.0,3.0,6.0,,,2.0,9.0,,7.0,,,,,,,,,0114,Upplands Väsby
2573,41-50,2.0,Voted,Men,"Tertiary education, shorter than 2 years",Large city: outer area/suburb,Swedish background,,,,,,,Somewhat interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
3608,51-60,2.0,Voted,Men,"Tertiary education, 2 years or longer",Large city: outer area/suburb,Swedish background,,,Swedish,600 001 – 700 000,Green Party (MP),Left Party (V),Somewhat interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Somewhat agree,Trust somewhat,Bra,Very good job,Fairly satisfied,Ganska stort förtroende,Yes,Ganska nära,Neither positive nor negative,Neither positive nor negative,Andelen kvinnor i riksdagen är bra som den är,Not very fairly,Quite well,Fairly good,Somewhat deteriorated,,,"Deltid, minst 15 timmar",Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither good nor bad proposal,Fairly good proposal,Fairly bad proposal,Fairly bad proposal,Neither good nor bad proposal,Fairly good proposal,Neither good nor bad proposal,Fairly bad proposal,Very bad proposal,Neither good nor bad proposal,Neither good nor bad proposal,Fairly good proposal,Neither good nor bad proposal,Fairly good proposal,Fairly bad proposal,Neither good nor bad proposal,Trust somewhat,Trust somewhat,Trust a lot,Inte särskilt stort förtroende,Trust a lot,Inget förtroende alls,Trust somewhat,9.0,4.0,2.0,4.0,0.0,-3.0,4.0,-1.0,3.0,4.0,-3.0,-4.0,6.0,4.0,9.0,1.0,6.0,2.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,0115,Vallentuna
5867,18-22,2.0,Voted,Women,"Tertiary education, shorter than 2 years",,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
2444,31-40,2.0,Voted,Men,"Tertiary education, shorter than 2 years",,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
2544,51-60,2.0,Voted,Men,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
2649,71-104,2.0,Voted,Women,Upper secondary school,Larger town,Swedish background,Gift/i registrerat partnerskap,Entrepreneur home,Swedish,400 001 – 500 000,Moderate Party (M),Moderate Party (M),Very interested,Flera gånger om dagen,Strongly agree,,Dåligt,Very good job,Fairly satisfied,Mycket stort förtroende,Yes,Ganska nära,Fairly positive,Very positive,Andelen kvinnor i riksdagen är bra som den är,Not very fairly,Not very well,Fairly good,Somewhat improved,Privat,Tillsvidare-/fast anställning,Full time,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Very good proposal,Very good proposal,Fairly bad proposal,Very good proposal,Very good proposal,Fairly good proposal,Very bad proposal,Very good proposal,Very bad proposal,Very bad proposal,Very bad proposal,Very good proposal,Very good proposal,Fairly good proposal,Very good proposal,Neither good nor bad proposal,,,Trust a lot,Trust somewhat,Trust somewhat,Inte särskilt stort förtroende,Trust a lot,9.0,,,,-2.0,4.0,0.0,0.0,1.0,,3.0,3.0,6.0,3.0,,,2.0,,,,,,,,,,,,,,,,,0115,Vallentuna
1914,31-40,2.0,Voted,Women,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
3467,31-40,2.0,Voted,Men,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
4447,51-60,2.0,Voted,Men,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
1156,31-40,2.0,Voted,Men,Upper secondary school,,Swedish background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
1344,51-60,2.0,Voted,Men,,,Foreign background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
6490,23-30,2.0,Did not vote,Women,Upper secondary school,,Swedish background,,,,,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
5906,41-50,2.0,Voted,Women,"Primary school, 9/10 years",Large city: outer area/suburb,Swedish background,I ett förhållande,Working-class home,Swedish,300 001 – 400 000,Social Democrats (S),Social Democrats (S),Somewhat interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Somewhat agree,Trust somewhat,Bra,Bra,Very satisfied,Mycket stort förtroende,Yes,Ganska nära,Fairly positive,Neither positive nor negative,Andelen kvinnor i riksdagen är för låg,Not at all fairly,Quite well,Fairly good,Somewhat deteriorated,Privat,Jag är egen företagare,Full time,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Very bad proposal,Very good proposal,Very bad proposal,Fairly bad proposal,Fairly bad proposal,Very good proposal,Neither good nor bad proposal,Neither good nor bad proposal,Fairly bad proposal,Fairly bad proposal,Very good proposal,Very good proposal,Very bad proposal,Very good proposal,Neither good nor bad proposal,Neither good nor bad proposal,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Inget förtroende alls,Trust a lot,8.0,,,,2.0,-4.0,,,,2.0,,,6.0,4.0,,,5.0,5.0,,,9.0,,,,,,,,,,,,,0115,Vallentuna
3832,71-104,2.0,Did not vote,Women,"Tertiary education, 2 years or longer",Larger town,Swedish background,Widow/widower,,Swedish,,Did not vote,Social Democrats (S),Somewhat interested,Jag använder inte sociala medier för att följa partier och kandidater dagligen,Somewhat agree,Trust a lot,Bra,Bra,Not very satisfied,Ganska litet förtroende,No,Ganska nära,Very positive,Fairly positive,Andelen kvinnor i riksdagen är för låg,Not very fairly,Very well,Neither good nor bad,Somewhat deteriorated,Kommunal,Tillsvidare-/fast anställning,Full time,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Fairly good proposal,Very good proposal,Very bad proposal,Fairly bad proposal,Very good proposal,Very good proposal,Neither good nor bad proposal,Neither good nor bad proposal,Very good proposal,Very bad proposal,Very bad proposal,Fairly good proposal,Very good proposal,Very good proposal,Very good proposal,Very bad proposal,Inte särskilt stort förtroende,Trust somewhat,Trust a lot,Inget förtroende alls,Inte särskilt stort förtroende,Inget förtroende alls,Inte särskilt stort förtroende,9.0,2.0,,3.0,-2.0,,-2.0,-4.0,,2.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,0115,Vallentuna
