gm_code,municipality,gender,age_group,education,N,vote_2030
GM0228    ,Ede,female,25-35,"Havo, vwo, mbo2-4",3344.0,D66
GM0988    ,Weert,female,65-75,Basisonderwijs,573.0,CDA
GM0392    ,Haarlem,male,25-35,"Hbo-, wo-bachelor",3654.0,D66
GM0935    ,Maastricht,female,25-35,"Hbo-, wo-master, doctor",2973.0,D66
GM0518    ,'s-Gravenhage (gemeente),male,35-45,"Hbo-, wo-master, doctor",9530.0,D66
GM0824    ,Oisterwijk,female,65-75,Basisonderwijs,229.0,CDA
GM0772    ,Eindhoven,male,55-65,"Havo, vwo, mbo2-4",5041.0,VVD
GM0213    ,Brummen,male,55-65,"Havo, vwo, mbo2-4",835.0,CDA
GM0599    ,Rotterdam,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",5117.0,SP
GM0513    ,Gouda,female,25-35,"Hbo-, wo-bachelor",1766.0,D66
GM0518    ,'s-Gravenhage (gemeente),male,65-75,"Havo, vwo, mbo2-4",7285.0,CDA
GM0917    ,Heerlen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1559.0,Did not vote
GM0873    ,Woensdrecht,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",315.0,50PLUS
GM0158    ,Haaksbergen,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",346.0,50PLUS
GM0402    ,Hilversum,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1880.0,Did not vote
GM0034    ,Almere,male,35-45,Basisonderwijs,1055.0,PVV
GM0632    ,Woerden,female,55-65,"Havo, vwo, mbo2-4",1642.0,CDA
GM0851    ,Steenbergen,female,15-25,"Havo, vwo, mbo2-4",562.0,D66
GM1930    ,Nissewaard,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1492.0,Did not vote
GM0153    ,Enschede,female,15-25,"Havo, vwo, mbo2-4",5807.0,Did not vote
GM0928    ,Kerkrade,male,55-65,"Hbo-, wo-bachelor",570.0,VVD
GM0599    ,Rotterdam,male,45-55,Basisonderwijs,5386.0,PVV
GM1991    ,Maashorst,male,35-45,"Havo, vwo, mbo2-4",1484.0,BBB
GM0758    ,Breda,male,55-65,"Hbo-, wo-bachelor",2782.0,CDA
GM0202    ,Arnhem,male,25-35,"Hbo-, wo-bachelor",3723.0,D66
GM0867    ,Waalwijk,male,25-35,"Hbo-, wo-bachelor",791.0,VVD
GM0537    ,Katwijk,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",660.0,VVD
GM0668    ,West Maas en Waal,female,35-45,Basisonderwijs,41.0,BBB
GM0392    ,Haarlem,male,35-45,Basisonderwijs,934.0,PVV
GM0301    ,Zutphen,male,65-75,"Hbo-, wo-master, doctor",550.0,CDA
GM0363    ,Amsterdam,male,45-55,"Havo, vwo, mbo2-4",15290.0,D66
GM0758    ,Breda,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1527.0,CDA
GM0840    ,Rucphen,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",539.0,CDA
GM0230    ,Elburg,female,35-45,Basisonderwijs,116.0,Did not vote
GM0363    ,Amsterdam,male,55-65,"Havo, vwo, mbo2-4",16062.0,VVD
GM1525    ,Teylingen,female,25-35,"Hbo-, wo-master, doctor",437.0,D66
GM0983    ,Venlo,male,45-55,"Hbo-, wo-master, doctor",640.0,D66
GM0392    ,Haarlem,female,35-45,"Hbo-, wo-master, doctor",4582.0,D66
GM0014    ,Groningen (gemeente),male,25-35,"Hbo-, wo-bachelor",7546.0,D66
GM0441    ,Schagen,male,35-45,"Havo, vwo, mbo2-4",1190.0,VVD
GM0758    ,Breda,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",3886.0,Did not vote
GM0228    ,Ede,female,15-25,Basisonderwijs,772.0,Did not vote
GM0153    ,Enschede,male,55-65,"Havo, vwo, mbo2-4",4368.0,VVD
GM0118    ,Hoogeveen,female,25-35,"Hbo-, wo-bachelor",774.0,D66
GM0228    ,Ede,male,25-35,"Havo, vwo, mbo2-4",3536.0,VVD
GM0513    ,Gouda,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",542.0,VVD
GM0383    ,Castricum,male,25-35,"Hbo-, wo-bachelor",608.0,D66
GM0513    ,Gouda,male,65-75,Basisonderwijs,444.0,CDA
GM0034    ,Almere,female,45-55,"Hbo-, wo-bachelor",3290.0,D66
GM1709    ,Moerdijk,male,15-25,Basisonderwijs,288.0,Did not vote
GM0479    ,Zaanstad,male,15-25,"Havo, vwo, mbo2-4",3898.0,D66
GM0512    ,Gorinchem,male,45-55,"Havo, vwo, mbo2-4",1062.0,CDA
GM0344    ,Utrecht (gemeente),female,25-35,"Hbo-, wo-master, doctor",21657.0,D66
GM0275    ,Rheden,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",520.0,50PLUS
GM0163    ,Hellendoorn,male,15-25,"Havo, vwo, mbo2-4",981.0,BBB
GM0518    ,'s-Gravenhage (gemeente),female,55-65,"Hbo-, wo-master, doctor",5662.0,D66
GM1926    ,Pijnacker-Nootdorp,male,55-65,"Havo, vwo, mbo2-4",1686.0,VVD
GM0363    ,Amsterdam,male,25-35,"Hbo-, wo-bachelor",29002.0,D66
GM1970    ,Noardeast-Fryslân,male,55-65,"Havo, vwo, mbo2-4",1729.0,BBB
GM0175    ,Ommen,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",328.0,CDA
GM0363    ,Amsterdam,female,45-55,"Hbo-, wo-bachelor",12272.0,GL-PvdA
GM0736    ,De Ronde Venen,female,65-75,"Hbo-, wo-bachelor",482.0,CDA
GM1735    ,Hof van Twente,male,45-55,"Hbo-, wo-bachelor",552.0,BBB
GM0479    ,Zaanstad,female,65-75,"Hbo-, wo-bachelor",1160.0,50PLUS
GM1942    ,Gooise Meren,male,35-45,"Havo, vwo, mbo2-4",988.0,VVD
GM0503    ,Delft,male,55-65,"Hbo-, wo-master, doctor",1487.0,D66
GM0274    ,Renkum,female,35-45,"Hbo-, wo-bachelor",438.0,D66
GM0361    ,Alkmaar,male,15-25,"Havo, vwo, mbo2-4",2854.0,D66
GM0983    ,Venlo,male,35-45,Basisonderwijs,429.0,PVV
GM1674    ,Roosendaal,female,55-65,"Havo, vwo, mbo2-4",2488.0,CDA
GM0537    ,Katwijk,male,15-25,"Hbo-, wo-master, doctor",40.0,D66
GM0080    ,Leeuwarden,female,15-25,Basisonderwijs,1051.0,Did not vote
GM0772    ,Eindhoven,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",1916.0,VVD
GM0074    ,Heerenveen,female,45-55,"Havo, vwo, mbo2-4",1512.0,VVD
GM1714    ,Sluis,male,65-75,"Havo, vwo, mbo2-4",680.0,CDA
GM1774    ,Dinkelland,male,25-35,"Havo, vwo, mbo2-4",880.0,BBB
GM1982    ,Land van Cuijk,female,45-55,"Havo, vwo, mbo2-4",2702.0,BBB
GM0150    ,Deventer,female,55-65,"Havo, vwo, mbo2-4",3030.0,CDA
GM0405    ,Hoorn,female,65-75,"Havo, vwo, mbo2-4",1940.0,50PLUS
GM0758    ,Breda,female,65-75,"Hbo-, wo-bachelor",2078.0,CDA
GM0268    ,Nijmegen,female,55-65,"Hbo-, wo-master, doctor",2310.0,D66
GM0935    ,Maastricht,male,25-35,Basisonderwijs,738.0,Did not vote
GM0363    ,Amsterdam,male,25-35,"Hbo-, wo-master, doctor",35648.0,D66
GM0855    ,Tilburg,female,35-45,Basisonderwijs,1274.0,PVV
GM0106    ,Assen,female,15-25,Basisonderwijs,488.0,Did not vote
GM0285    ,Voorst,male,15-25,"Havo, vwo, mbo2-4",656.0,BBB
GM0453    ,Velsen,female,55-65,"Havo, vwo, mbo2-4",2607.0,VVD
GM0772    ,Eindhoven,male,45-55,"Hbo-, wo-bachelor",3611.0,VVD
GM0269    ,Oldebroek,female,35-45,"Havo, vwo, mbo2-4",701.0,BBB
GM1507    ,Horst aan de Maas,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",612.0,VVD
GM0599    ,Rotterdam,female,15-25,"Havo, vwo, mbo2-4",21434.0,GL-PvdA
GM0344    ,Utrecht (gemeente),female,65-75,"Hbo-, wo-master, doctor",2190.0,D66
GM1896    ,Zwartewaterland,male,65-75,Basisonderwijs,176.0,50PLUS
GM0273    ,Putten,female,15-25,"Hbo-, wo-bachelor",141.0,D66
GM0014    ,Groningen (gemeente),male,45-55,"Hbo-, wo-bachelor",3010.0,D66
GM0632    ,Woerden,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",911.0,PvdD
GM1979    ,Eemsdelta,male,55-65,"Hbo-, wo-bachelor",462.0,VVD
GM0074    ,Heerenveen,male,65-75,"Hbo-, wo-master, doctor",388.0,VVD
GM0150    ,Deventer,male,35-45,"Hbo-, wo-bachelor",1956.0,D66
GM0118    ,Hoogeveen,male,25-35,"Havo, vwo, mbo2-4",2152.0,BBB
GM0307    ,Amersfoort,male,55-65,Basisonderwijs,999.0,VVD
GM0090    ,Smallingerland,male,55-65,"Havo, vwo, mbo2-4",1841.0,BBB
GM0392    ,Haarlem,male,45-55,"Hbo-, wo-master, doctor",3108.0,D66
GM1963    ,Hoeksche Waard,female,45-55,"Havo, vwo, mbo2-4",2868.0,BBB
GM0824    ,Oisterwijk,female,65-75,"Havo, vwo, mbo2-4",922.0,CDA
GM0828    ,Oss,male,15-25,"Havo, vwo, mbo2-4",2354.0,VVD
GM0599    ,Rotterdam,male,15-25,"Havo, vwo, mbo2-4",18750.0,D66
GM0363    ,Amsterdam,female,25-35,"Hbo-, wo-master, doctor",43743.0,D66
GM0397    ,Heemstede,female,15-25,"Havo, vwo, mbo2-4",712.0,D66
GM0599    ,Rotterdam,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",11887.0,Did not vote
GM0603    ,Rijswijk (ZH.),male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1046.0,Did not vote
GM1655    ,Halderberge,female,65-75,"Havo, vwo, mbo2-4",756.0,50PLUS
GM1581    ,Utrechtse Heuvelrug,female,55-65,Basisonderwijs,226.0,CDA
GM0344    ,Utrecht (gemeente),female,25-35,"Hbo-, wo-bachelor",12840.0,D66
GM0153    ,Enschede,male,65-75,"Havo, vwo, mbo2-4",3018.0,CDA
GM1705    ,Lingewaard,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1049.0,CDA
GM1963    ,Hoeksche Waard,female,15-25,"Havo, vwo, mbo2-4",2218.0,BBB
GM0622    ,Vlaardingen,female,25-35,"Hbo-, wo-master, doctor",648.0,D66
GM1699    ,Noordenveld,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",619.0,PVV
GM0363    ,Amsterdam,male,65-75,"Hbo-, wo-master, doctor",7691.0,D66
GM0355    ,Zeist,male,35-45,"Havo, vwo, mbo2-4",1181.0,VVD
GM0748    ,Bergen op Zoom,male,65-75,"Hbo-, wo-bachelor",949.0,CDA
GM0861    ,Veldhoven,male,45-55,"Hbo-, wo-master, doctor",685.0,D66
GM0200    ,Apeldoorn,female,55-65,"Havo, vwo, mbo2-4",5424.0,CDA
GM0532    ,Stede Broec,female,25-35,"Hbo-, wo-bachelor",272.0,D66
GM0285    ,Voorst,female,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",120.0,BBB
GM0518    ,'s-Gravenhage (gemeente),female,15-25,"Havo, vwo, mbo2-4",16965.0,D66
GM0307    ,Amersfoort,female,35-45,Basisonderwijs,818.0,Did not vote
GM1952    ,Midden-Groningen,female,25-35,"Havo, vwo, mbo2-4",1843.0,BBB
GM1900    ,Súdwest-Fryslân,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1711.0,VVD
GM0899    ,Brunssum,male,55-65,"Havo, vwo, mbo2-4",1060.0,CDA
GM1883    ,Sittard-Geleen,female,45-55,"Havo, vwo, mbo2-4",2299.0,CDA
GM0356    ,Nieuwegein,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1041.0,50PLUS
GM0394    ,Haarlemmermeer,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",2071.0,50PLUS
GM0988    ,Weert,male,65-75,Basisonderwijs,310.0,CDA
GM0153    ,Enschede,male,15-25,"Havo, vwo, mbo2-4",7540.0,D66
GM1924    ,Goeree-Overflakkee,female,45-55,"Hbo-, wo-bachelor",564.0,BBB
GM0599    ,Rotterdam,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",6630.0,VVD
GM0153    ,Enschede,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1324.0,50PLUS
GM0603    ,Rijswijk (ZH.),female,65-75,Basisonderwijs,459.0,50PLUS
GM0518    ,'s-Gravenhage (gemeente),male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",5722.0,Did not vote
GM0034    ,Almere,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",2433.0,PVV
GM0873    ,Woensdrecht,female,25-35,"Havo, vwo, mbo2-4",297.0,BBB
GM0014    ,Groningen (gemeente),female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",1654.0,50PLUS
GM0114    ,Emmen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",2488.0,Did not vote
GM0383    ,Castricum,female,65-75,"Havo, vwo, mbo2-4",958.0,50PLUS
GM0267    ,Nijkerk,male,55-65,"Havo, vwo, mbo2-4",1466.0,CDA
GM0180    ,Staphorst,female,55-65,"Havo, vwo, mbo2-4",468.0,CDA
GM0537    ,Katwijk,female,25-35,"Hbo-, wo-bachelor",1044.0,D66
GM0362    ,Amstelveen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",2412.0,Did not vote
GM0503    ,Delft,male,65-75,"Hbo-, wo-bachelor",1003.0,50PLUS
GM1963    ,Hoeksche Waard,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",442.0,BBB
GM0344    ,Utrecht (gemeente),male,25-35,"Hbo-, wo-master, doctor",16442.0,D66
GM0034    ,Almere,male,45-55,"Hbo-, wo-bachelor",2890.0,VVD
GM0363    ,Amsterdam,male,15-25,"Hbo-, wo-bachelor",6960.0,D66
GM0866    ,Waalre,male,55-65,"Hbo-, wo-bachelor",403.0,CDA
GM0307    ,Amersfoort,male,15-25,Basisonderwijs,1336.0,Did not vote
GM0397    ,Heemstede,female,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",54.0,Did not vote
GM0796    ,'s-Hertogenbosch,female,35-45,Basisonderwijs,680.0,Did not vote
GM0166    ,Kampen,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1307.0,Did not vote
GM0363    ,Amsterdam,female,25-35,"Havo, vwo, mbo2-4",20770.0,D66
GM0575    ,Noordwijk,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",432.0,VVD
GM0034    ,Almere,male,25-35,"Havo, vwo, mbo2-4",7266.0,D66
GM0344    ,Utrecht (gemeente),male,35-45,"Havo, vwo, mbo2-4",6176.0,D66
GM0233    ,Ermelo,female,65-75,"Hbo-, wo-bachelor",405.0,CDA
GM0307    ,Amersfoort,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",1221.0,50PLUS
GM0599    ,Rotterdam,female,45-55,"Havo, vwo, mbo2-4",13789.0,50PLUS
GM1966    ,Het Hogeland,male,45-55,"Havo, vwo, mbo2-4",1665.0,BBB
GM0397    ,Heemstede,female,65-75,"Hbo-, wo-master, doctor",331.0,D66
GM1948    ,Meierijstad,male,45-55,"Havo, vwo, mbo2-4",2597.0,BBB
GM0163    ,Hellendoorn,female,45-55,"Havo, vwo, mbo2-4",1091.0,50PLUS
GM0202    ,Arnhem,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",1580.0,PVV
GM0356    ,Nieuwegein,female,15-25,"Havo, vwo, mbo2-4",1581.0,D66
GM1507    ,Horst aan de Maas,male,45-55,"Hbo-, wo-master, doctor",208.0,D66
GM0489    ,Barendrecht,male,45-55,"Havo, vwo, mbo2-4",1401.0,VVD
GM0513    ,Gouda,male,65-75,"Hbo-, wo-master, doctor",672.0,VVD
GM0275    ,Rheden,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",882.0,Did not vote
GM0222    ,Doetinchem,male,55-65,"Hbo-, wo-bachelor",918.0,VVD
GM0537    ,Katwijk,female,45-55,"Havo, vwo, mbo2-4",2021.0,D66
GM0226    ,Duiven,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",330.0,PVV
GM0503    ,Delft,female,55-65,"Havo, vwo, mbo2-4",2053.0,CDA
GM0268    ,Nijmegen,male,65-75,"Hbo-, wo-master, doctor",2245.0,D66
GM0518    ,'s-Gravenhage (gemeente),male,15-25,"Hbo-, wo-bachelor",3221.0,D66
GM1525    ,Teylingen,male,45-55,"Hbo-, wo-master, doctor",545.0,D66
GM0193    ,Zwolle,male,65-75,"Havo, vwo, mbo2-4",2330.0,CDA
GM0917    ,Heerlen,male,15-25,Basisonderwijs,828.0,Did not vote
GM0363    ,Amsterdam,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",15223.0,GL-PvdA
GM0177    ,Raalte,male,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",830.0,Did not vote
GM0748    ,Bergen op Zoom,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",529.0,PVV
GM0228    ,Ede,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",2418.0,Did not vote
GM1884    ,Kaag en Braassem,male,45-55,"Havo, vwo, mbo2-4",817.0,VVD
GM1940    ,De Fryske Marren,female,45-55,"Hbo-, wo-master, doctor",333.0,D66
GM0355    ,Zeist,female,45-55,"Havo, vwo, mbo2-4",1006.0,VVD
GM0718    ,Vlissingen,male,35-45,"Hbo-, wo-bachelor",557.0,VVD
GM0228    ,Ede,female,45-55,"Hbo-, wo-bachelor",1613.0,D66
GM0855    ,Tilburg,female,25-35,Basisonderwijs,720.0,VVD
GM0114    ,Emmen,female,15-25,"Havo, vwo, mbo2-4",2531.0,D66
GM0230    ,Elburg,male,55-65,Basisonderwijs,129.0,CDA
GM0405    ,Hoorn,male,35-45,"Havo, vwo, mbo2-4",2220.0,VVD
GM0394    ,Haarlemmermeer,male,15-25,"Havo, vwo, mbo2-4",4861.0,VVD
GM0232    ,Epe,female,65-75,"Havo, vwo, mbo2-4",805.0,CDA
GM0546    ,Leiden,female,15-25,"Vmbo, havo-/vwo-onderbouw, mbo1",1762.0,Did not vote
GM0441    ,Schagen,male,45-55,"Havo, vwo, mbo2-4",1443.0,VVD
GM0737    ,Tytsjerksteradiel,female,35-45,"Hbo-, wo-bachelor",482.0,D66
GM0547    ,Leiderdorp,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",204.0,VVD
GM0296    ,Wijchen,male,35-45,"Hbo-, wo-bachelor",552.0,D66
GM0518    ,'s-Gravenhage (gemeente),male,15-25,"Havo, vwo, mbo2-4",14677.0,D66
GM0855    ,Tilburg,female,65-75,"Hbo-, wo-bachelor",1732.0,CDA
GM0479    ,Zaanstad,female,55-65,"Hbo-, wo-bachelor",1744.0,D66
GM0983    ,Venlo,male,55-65,"Havo, vwo, mbo2-4",3311.0,VVD
GM0599    ,Rotterdam,male,25-35,"Hbo-, wo-master, doctor",14811.0,D66
GM1729    ,Gulpen-Wittem,male,55-65,"Hbo-, wo-master, doctor",118.0,VVD
GM0758    ,Breda,male,55-65,"Hbo-, wo-master, doctor",2294.0,D66
GM0599    ,Rotterdam,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",5171.0,50PLUS
GM0957    ,Roermond,male,45-55,"Havo, vwo, mbo2-4",1673.0,CDA
GM0935    ,Maastricht,female,45-55,Basisonderwijs,546.0,Did not vote
GM0758    ,Breda,female,35-45,"Havo, vwo, mbo2-4",3236.0,D66
GM0984    ,Venray,male,35-45,Basisonderwijs,356.0,BBB
GM0664    ,Goes,female,35-45,"Havo, vwo, mbo2-4",929.0,D66
GM1901    ,Bodegraven-Reeuwijk,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",515.0,50PLUS
GM0840    ,Rucphen,male,25-35,"Havo, vwo, mbo2-4",671.0,BBB
GM0855    ,Tilburg,male,55-65,"Havo, vwo, mbo2-4",5792.0,VVD
GM0200    ,Apeldoorn,male,55-65,"Havo, vwo, mbo2-4",5087.0,VVD
GM1903    ,Eijsden-Margraten,male,55-65,"Havo, vwo, mbo2-4",907.0,CDA
GM0098    ,Weststellingwerf,female,55-65,"Havo, vwo, mbo2-4",905.0,CDA
GM0851    ,Steenbergen,female,15-25,"Hbo-, wo-bachelor",88.0,D66
GM0153    ,Enschede,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",1768.0,50PLUS
GM0307    ,Amersfoort,male,25-35,"Havo, vwo, mbo2-4",4514.0,D66
GM0772    ,Eindhoven,female,35-45,"Havo, vwo, mbo2-4",4693.0,D66
GM0590    ,Papendrecht,female,35-45,"Havo, vwo, mbo2-4",994.0,VVD
GM1740    ,Neder-Betuwe,female,65-75,"Havo, vwo, mbo2-4",393.0,CDA
GM0268    ,Nijmegen,female,45-55,"Havo, vwo, mbo2-4",2785.0,D66
GM0796    ,'s-Hertogenbosch,male,45-55,"Hbo-, wo-master, doctor",1959.0,D66
GM1969    ,Westerkwartier,female,65-75,Basisonderwijs,484.0,CDA
GM0202    ,Arnhem,female,55-65,"Hbo-, wo-bachelor",2340.0,D66
GM0627    ,Waddinxveen,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",504.0,CDA
GM0797    ,Heusden,male,45-55,"Vmbo, havo-/vwo-onderbouw, mbo1",429.0,CDA
GM1669    ,Roerdalen,male,45-55,"Havo, vwo, mbo2-4",623.0,BBB
GM0363    ,Amsterdam,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",7754.0,SP
GM0385    ,Edam-Volendam,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",426.0,VVD
GM0518    ,'s-Gravenhage (gemeente),male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",3921.0,50PLUS
GM0232    ,Epe,male,25-35,"Hbo-, wo-bachelor",430.0,D66
GM0703    ,Reimerswaal,male,45-55,"Havo, vwo, mbo2-4",725.0,BBB
GM0796    ,'s-Hertogenbosch,female,35-45,"Hbo-, wo-bachelor",2832.0,CDA
GM0513    ,Gouda,male,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",811.0,VVD
GM0743    ,Asten,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",274.0,CDA
GM1930    ,Nissewaard,female,45-55,"Havo, vwo, mbo2-4",2420.0,50PLUS
GM0344    ,Utrecht (gemeente),female,55-65,"Havo, vwo, mbo2-4",5133.0,D66
GM1948    ,Meierijstad,female,55-65,"Vmbo, havo-/vwo-onderbouw, mbo1",1462.0,CDA
GM1930    ,Nissewaard,male,35-45,"Vmbo, havo-/vwo-onderbouw, mbo1",838.0,VVD
GM1896    ,Zwartewaterland,male,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",307.0,50PLUS
GM0301    ,Zutphen,male,15-25,"Havo, vwo, mbo2-4",1146.0,Did not vote
GM0189    ,Wierden,male,55-65,"Hbo-, wo-bachelor",428.0,VVD
GM0363    ,Amsterdam,male,55-65,"Hbo-, wo-bachelor",9972.0,D66
GM0047    ,Veendam,male,65-75,Basisonderwijs,180.0,CDA
GM1892    ,Zuidplas,male,25-35,"Havo, vwo, mbo2-4",1142.0,VVD
GM0518    ,'s-Gravenhage (gemeente),female,35-45,"Havo, vwo, mbo2-4",11178.0,D66
GM0606    ,Schiedam,male,45-55,"Hbo-, wo-master, doctor",519.0,D66
GM1708    ,Steenwijkerland,female,25-35,"Havo, vwo, mbo2-4",1166.0,PvdD
GM0627    ,Waddinxveen,male,25-35,"Havo, vwo, mbo2-4",1038.0,VVD
GM0175    ,Ommen,female,65-75,"Hbo-, wo-master, doctor",72.0,CDA
GM0441    ,Schagen,male,55-65,"Havo, vwo, mbo2-4",1660.0,CDA
GM0200    ,Apeldoorn,male,35-45,"Havo, vwo, mbo2-4",4535.0,VVD
GM1659    ,Laarbeek,male,65-75,"Havo, vwo, mbo2-4",630.0,CDA
GM1970    ,Noardeast-Fryslân,female,25-35,Basisonderwijs,419.0,Did not vote
GM0147    ,Borne,female,55-65,"Havo, vwo, mbo2-4",903.0,50PLUS
GM0772    ,Eindhoven,male,65-75,"Havo, vwo, mbo2-4",3640.0,CDA
GM0917    ,Heerlen,female,25-35,"Hbo-, wo-master, doctor",541.0,D66
GM0599    ,Rotterdam,female,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",4633.0,Did not vote
GM0293    ,Westervoort,female,65-75,"Vmbo, havo-/vwo-onderbouw, mbo1",314.0,CDA
GM0406    ,Huizen,male,25-35,"Vmbo, havo-/vwo-onderbouw, mbo1",203.0,PVV
GM0268    ,Nijmegen,female,45-55,"Hbo-, wo-master, doctor",3162.0,D66
GM0855    ,Tilburg,male,35-45,"Hbo-, wo-master, doctor",2458.0,D66
