index,state_cat,cd_cat,age_cat,gender_cat,race_cat,hispanic_cat,educ_cat,cell_pop,state_abbrv,state_cd,vote_choice
55,42,16,48-52,Female,White,Not Hispanic,4-year,4873.813700000001,PA,PA-16,Republican
56,26,3,83+,Female,White,Not Hispanic,Some college,1457.3403999999996,MI,MI-3,Did not vote
57,34,7,58-62,Male,White,Not Hispanic,4-year,7336.928400000006,NJ,NJ-7,Republican
58,6,44,28-32,Male,Asian,Not Hispanic,HS grad,315.9209386890528,CA,CA-44,Democrat
59,6,31,73-77,Female,Asian,Not Hispanic,4-year,1385.8007931950472,CA,CA-31,Democrat
60,37,10,78-82,Male,White,Not Hispanic,Post-grad,1044.3218163894137,NC,NC-10,Did not vote
61,26,8,78-82,Female,White,Not Hispanic,HS grad,4936.7301,MI,MI-8,Democrat
62,34,6,23-27,Male,White,Not Hispanic,4-year,4265.429800000001,NJ,NJ-6,Republican
63,42,10,28-32,Female,White,Not Hispanic,HS grad,3629.613300000001,PA,PA-10,Democrat
64,36,22,73-77,Female,White,Not Hispanic,HS grad,5048.922400000001,NY,NY-22,Republican
65,34,1,28-32,Male,Black,Not Hispanic,Some college,1052.5326999999995,NJ,NJ-1,Did not vote
66,34,3,53-57,Female,White,Not Hispanic,4-year,5601.523899999996,NJ,NJ-3,Republican
67,17,2,33-37,Male,Black,Not Hispanic,HS grad,3902.0575000000017,IL,IL-2,Did not vote
68,4,6,28-32,Female,White,Hispanic,2-year,390.7094000000001,AZ,AZ-6,Democrat
69,25,3,63-67,Male,White,Not Hispanic,Some college,3472.806200000001,MA,MA-3,Republican
70,12,10,38-42,Male,White,Not Hispanic,No HS,252.10590092968656,FL,FL-10,Other
71,23,1,58-62,Male,White,Not Hispanic,Post-grad,3195.981499999998,ME,ME-1,Republican
72,48,12,18-22,Female,White,Not Hispanic,Some college,3719.00477837228,TX,TX-12,Democrat
73,12,18,23-27,Female,Other/Multi,Hispanic,4-year,1198.2611909134832,FL,FL-18,Other
74,6,4,58-62,Male,Other/Multi,Hispanic,4-year,196.8601577569734,CA,CA-4,Democrat
75,13,10,83+,Female,White,Not Hispanic,HS grad,3483.0925999999995,GA,GA-10,Republican
76,15,2,33-37,Male,Other/Multi,Not Hispanic,Some college,772.1099999999999,HI,HI-2,Did not vote
77,37,8,28-32,Female,White,Not Hispanic,2-year,1746.2565211823298,NC,NC-8,Democrat
78,34,2,58-62,Male,White,Not Hispanic,HS grad,8581.508400000006,NJ,NJ-2,Democrat
79,42,17,63-67,Male,White,Not Hispanic,HS grad,7741.66909999999,PA,PA-17,Democrat
80,37,9,28-32,Male,White,Not Hispanic,HS grad,3515.75076115489,NC,NC-9,Republican
81,22,6,63-67,Female,White,Not Hispanic,4-year,2825.165300000001,LA,LA-6,Democrat
82,47,3,53-57,Male,White,Not Hispanic,HS grad,6876.114999999998,TN,TN-3,Republican
83,8,4,58-62,Female,White,Not Hispanic,4-year,5851.909400000002,CO,CO-4,Democrat
84,4,2,63-67,Male,White,Not Hispanic,HS grad,5685.372099999993,AZ,AZ-2,Republican
85,6,19,83+,Female,Asian,Not Hispanic,No HS,818.8415344433954,CA,CA-19,Democrat
86,40,2,78-82,Male,Other/Multi,Not Hispanic,No HS,103.9954,OK,OK-2,Republican
87,26,5,28-32,Male,White,Not Hispanic,No HS,1694.7091000000005,MI,MI-5,Republican
88,8,2,28-32,Female,Other/Multi,Not Hispanic,4-year,515.2789,CO,CO-2,Republican
89,28,1,18-22,Female,Other/Multi,Hispanic,Some college,504.2257,MS,MS-1,Democrat
90,6,50,28-32,Male,White,Not Hispanic,4-year,7744.525732572722,CA,CA-50,Republican
91,39,7,43-47,Male,White,Not Hispanic,4-year,5199.436713252011,OH,OH-7,Other
92,25,7,63-67,Male,Black,Not Hispanic,Some college,770.8649999999999,MA,MA-7,Republican
93,21,2,18-22,Female,White,Not Hispanic,Some college,7161.828099999992,KY,KY-2,Democrat
94,17,1,28-32,Male,Black,Not Hispanic,HS grad,2934.391899999999,IL,IL-1,Did not vote
95,36,21,23-27,Female,White,Not Hispanic,Some college,3402.8897,NY,NY-21,Democrat
96,19,1,63-67,Male,White,Not Hispanic,4-year,3086.050499999999,IA,IA-1,Democrat
97,6,18,68-72,Female,White,Not Hispanic,Some college,1784.416336737636,CA,CA-18,Republican
98,6,33,43-47,Female,White,Not Hispanic,HS grad,837.380426719165,CA,CA-33,Democrat
99,53,5,83+,Female,White,Not Hispanic,HS grad,5088.636599999998,WA,WA-5,Democrat
100,48,37,33-37,Female,White,Not Hispanic,4-year,8385.348633641464,TX,TX-37,Republican
101,39,8,68-72,Female,White,Not Hispanic,No HS,1084.4959244407237,OH,OH-8,Democrat
102,13,4,28-32,Male,Black,Not Hispanic,4-year,3555.3999,GA,GA-4,Republican
103,53,9,18-22,Female,Other/Multi,Hispanic,No HS,461.1402,WA,WA-9,Did not vote
104,42,15,58-62,Male,White,Not Hispanic,HS grad,13781.925600000002,PA,PA-15,Republican
105,39,15,58-62,Female,White,Not Hispanic,4-year,3937.630638696262,OH,OH-15,Republican
106,25,9,33-37,Female,White,Not Hispanic,2-year,1378.6459999999995,MA,MA-9,Republican
107,13,7,23-27,Female,White,Not Hispanic,No HS,592.9966000000001,GA,GA-7,Did not vote
108,6,23,28-32,Male,White,Not Hispanic,No HS,636.9947003873848,CA,CA-23,Republican
109,48,34,58-62,Female,White,Not Hispanic,HS grad,1204.4179282251291,TX,TX-34,Democrat
110,26,2,58-62,Male,White,Not Hispanic,HS grad,10440.85690000002,MI,MI-2,Republican
111,12,5,53-57,Female,White,Not Hispanic,HS grad,3644.7986526874206,FL,FL-5,Republican
112,17,3,28-32,Female,Black,Not Hispanic,Post-grad,483.84330000000006,IL,IL-3,Democrat
113,34,12,58-62,Male,White,Not Hispanic,Post-grad,2861.362199999999,NJ,NJ-12,Republican
114,9,1,23-27,Female,White,Not Hispanic,Post-grad,1792.8517,CT,CT-1,Democrat
115,48,13,38-42,Female,Other/Multi,Hispanic,No HS,514.6544843725276,TX,TX-13,Did not vote
116,42,7,48-52,Male,Other/Multi,Hispanic,No HS,796.5203,PA,PA-7,Democrat
117,40,1,63-67,Male,White,Not Hispanic,2-year,1884.6864000000005,OK,OK-1,Democrat
118,25,1,68-72,Male,White,Not Hispanic,Some college,3530.503400000005,MA,MA-1,Democrat
119,36,19,73-77,Male,Other/Multi,Hispanic,Some college,66.3073,NY,NY-19,Democrat
120,35,2,83+,Female,White,Not Hispanic,No HS,646.6348,NM,NM-2,Democrat
121,37,3,18-22,Female,Other/Multi,Not Hispanic,HS grad,533.9920154729509,NC,NC-3,Democrat
122,6,17,18-22,Male,Other/Multi,Hispanic,HS grad,1609.6890884440454,CA,CA-17,Democrat
123,24,2,63-67,Female,White,Not Hispanic,HS grad,5121.788199999998,MD,MD-2,Democrat
124,5,1,48-52,Male,White,Not Hispanic,HS grad,7136.4963,AR,AR-1,Republican
125,27,5,73-77,Male,White,Not Hispanic,Post-grad,1951.7481,MN,MN-5,Democrat
126,17,14,23-27,Female,Other/Multi,Hispanic,4-year,732.8108999999998,IL,IL-14,Democrat
127,6,46,53-57,Male,Asian,Not Hispanic,4-year,1148.8292998179747,CA,CA-46,Democrat
128,6,26,48-52,Male,White,Not Hispanic,Some college,2291.79908507494,CA,CA-26,Democrat
129,36,1,53-57,Female,Other/Multi,Hispanic,Some college,360.1884,NY,NY-1,Democrat
130,8,6,33-37,Male,White,Not Hispanic,No HS,289.13449999999995,CO,CO-6,Democrat
131,51,1,48-52,Male,Other/Multi,Hispanic,4-year,322.1624,VA,VA-1,Republican
132,35,1,48-52,Male,Other/Multi,Hispanic,Some college,1187.4578,NM,NM-1,Did not vote
133,18,4,43-47,Female,White,Not Hispanic,4-year,5276.927899999999,IN,IN-4,Did not vote
134,36,2,78-82,Female,White,Not Hispanic,HS grad,3859.6520000000014,NY,NY-2,Republican
135,4,2,63-67,Male,Native American,Not Hispanic,Some college,723.4205000000001,AZ,AZ-2,Republican
136,53,4,48-52,Male,White,Not Hispanic,Some college,2438.557,WA,WA-4,Republican
137,26,13,53-57,Female,White,Not Hispanic,No HS,932.2912,MI,MI-13,Republican
138,42,17,33-37,Male,White,Not Hispanic,Post-grad,3905.6048999999975,PA,PA-17,Republican
139,6,16,28-32,Female,Other/Multi,Hispanic,HS grad,479.0634873475795,CA,CA-16,Other
140,27,2,48-52,Male,White,Not Hispanic,No HS,414.3667,MN,MN-2,Did not vote
141,27,4,38-42,Male,White,Not Hispanic,Post-grad,3466.4133,MN,MN-4,Republican
142,51,6,53-57,Male,White,Not Hispanic,Some college,3647.2380000000016,VA,VA-6,Republican
143,34,9,28-32,Male,White,Not Hispanic,Post-grad,1239.4664000000005,NJ,NJ-9,Republican
144,26,9,73-77,Female,White,Not Hispanic,HS grad,6644.6048,MI,MI-9,Democrat
145,13,4,63-67,Female,White,Not Hispanic,4-year,1800.6172999999992,GA,GA-4,Did not vote
146,17,14,68-72,Male,Other/Multi,Not Hispanic,Some college,62.9178,IL,IL-14,Democrat
147,29,5,33-37,Male,White,Not Hispanic,4-year,4168.74321516388,MO,MO-5,Did not vote
148,25,4,58-62,Male,White,Not Hispanic,Post-grad,4206.496800000001,MA,MA-4,Republican
149,4,2,33-37,Male,Native American,Not Hispanic,2-year,265.4658,AZ,AZ-2,Democrat
150,47,8,58-62,Female,White,Not Hispanic,HS grad,6633.103599999998,TN,TN-8,Republican
151,48,31,53-57,Female,White,Not Hispanic,HS grad,2630.778499434145,TX,TX-31,Democrat
152,6,44,43-47,Male,White,Hispanic,Some college,401.559704553792,CA,CA-44,Republican
153,34,1,43-47,Female,White,Not Hispanic,Some college,2084.454599999999,NJ,NJ-1,Republican
154,6,29,18-22,Female,White,Hispanic,HS grad,602.2757661413633,CA,CA-29,Republican
155,37,12,43-47,Male,Black,Not Hispanic,HS grad,1803.2466231087053,NC,NC-12,Other
156,13,10,73-77,Female,Black,Not Hispanic,HS grad,1206.1064000000003,GA,GA-10,Democrat
157,37,7,23-27,Male,White,Not Hispanic,4-year,4535.348534689357,NC,NC-7,Democrat
158,40,4,68-72,Male,White,Not Hispanic,4-year,3184.173099999999,OK,OK-4,Republican
159,42,11,58-62,Female,White,Not Hispanic,Post-grad,2021.015,PA,PA-11,Democrat
160,6,28,53-57,Male,White,Not Hispanic,4-year,1954.950846470348,CA,CA-28,Republican
161,49,2,48-52,Male,White,Not Hispanic,Post-grad,3555.2676596619817,UT,UT-2,Democrat
162,12,16,68-72,Female,White,Not Hispanic,Some college,5464.364550598967,FL,FL-16,Democrat
163,4,8,68-72,Male,White,Not Hispanic,2-year,1354.6767,AZ,AZ-8,Republican
164,34,1,63-67,Female,White,Not Hispanic,2-year,2100.4462000000003,NJ,NJ-1,Other
165,20,1,48-52,Male,White,Not Hispanic,HS grad,3557.888100000004,KS,KS-1,Democrat
166,48,1,28-32,Female,White,Not Hispanic,No HS,1137.296502640452,TX,TX-1,Did not vote
167,47,1,38-42,Female,Black,Not Hispanic,Some college,40.7024,TN,TN-1,Democrat
168,17,8,43-47,Male,Other/Multi,Hispanic,No HS,409.7187,IL,IL-8,Democrat
169,53,2,23-27,Male,Asian,Hispanic,Some college,27.8956,WA,WA-2,Democrat
170,15,1,23-27,Female,White,Not Hispanic,4-year,1343.5199999999998,HI,HI-1,Republican
171,29,3,18-22,Female,White,Not Hispanic,4-year,1620.8109157491672,MO,MO-3,Democrat
172,12,27,78-82,Male,Other/Multi,Hispanic,No HS,1763.1206791521277,FL,FL-27,Republican
173,51,5,73-77,Female,Black,Not Hispanic,HS grad,1380.6312999999998,VA,VA-5,Democrat
174,8,3,58-62,Male,Native American,Hispanic,Some college,85.2055,CO,CO-3,Democrat
175,5,2,73-77,Female,Other/Multi,Not Hispanic,HS grad,124.0247,AR,AR-2,Republican
176,25,3,23-27,Female,White,Not Hispanic,4-year,5819.394499999999,MA,MA-3,Republican
177,55,6,53-57,Male,White,Not Hispanic,HS grad,8340.666500000007,WI,WI-6,Other
178,48,29,38-42,Male,White,Not Hispanic,4-year,1639.223144114888,TX,TX-29,Democrat
179,42,3,33-37,Female,Asian,Not Hispanic,Post-grad,627.3657000000001,PA,PA-3,Did not vote
180,48,28,83+,Female,White,Hispanic,No HS,686.3735018697154,TX,TX-28,Republican
181,48,30,38-42,Female,Black,Not Hispanic,4-year,2498.0479642752093,TX,TX-30,Did not vote
182,29,4,53-57,Female,White,Not Hispanic,2-year,1731.044265125534,MO,MO-4,Other
183,17,7,68-72,Female,Asian,Not Hispanic,Post-grad,224.58110000000005,IL,IL-7,Democrat
184,42,13,18-22,Female,White,Not Hispanic,HS grad,7201.520499999997,PA,PA-13,Republican
185,37,8,18-22,Male,White,Not Hispanic,2-year,596.3219795356945,NC,NC-8,Democrat
186,20,2,63-67,Male,White,Not Hispanic,HS grad,7091.369899999975,KS,KS-2,Republican
187,6,22,23-27,Male,Other/Multi,Not Hispanic,HS grad,404.2722840799314,CA,CA-22,Republican
188,42,2,48-52,Male,Asian,Not Hispanic,No HS,307.4241,PA,PA-2,Democrat
189,13,2,63-67,Male,Black,Not Hispanic,No HS,1892.0892,GA,GA-2,Did not vote
190,51,6,28-32,Female,White,Not Hispanic,4-year,3966.9768000000017,VA,VA-6,Democrat
191,12,21,18-22,Female,Black,Not Hispanic,2-year,145.1311729892306,FL,FL-21,Democrat
192,6,35,73-77,Female,Black,Not Hispanic,4-year,137.01785164044082,CA,CA-35,Republican
193,48,1,63-67,Female,White,Not Hispanic,2-year,2230.1174493069057,TX,TX-1,Democrat
194,6,50,58-62,Female,White,Not Hispanic,Some college,2517.48377295291,CA,CA-50,Republican
195,9,2,28-32,Male,White,Not Hispanic,HS grad,4430.016599999998,CT,CT-2,Republican
196,36,6,73-77,Male,White,Not Hispanic,4-year,979.2953000000005,NY,NY-6,Democrat
197,48,21,53-57,Female,White,Not Hispanic,Some college,3058.364331432154,TX,TX-21,Republican
198,12,3,28-32,Female,Black,Not Hispanic,HS grad,1599.49005481453,FL,FL-3,Democrat
199,17,5,33-37,Male,White,Not Hispanic,4-year,8435.43630000003,IL,IL-5,Republican
200,42,15,23-27,Female,Asian,Not Hispanic,HS grad,64.8316,PA,PA-15,Democrat
201,53,10,28-32,Male,Asian,Not Hispanic,Some college,608.9059,WA,WA-10,Did not vote
202,27,8,73-77,Male,Asian,Not Hispanic,4-year,21.9641,MN,MN-8,Did not vote
203,6,46,33-37,Female,Other/Multi,Hispanic,4-year,1201.277073473345,CA,CA-46,Democrat
204,1,7,18-22,Male,Black,Not Hispanic,HS grad,6206.746700000004,AL,AL-7,Democrat
205,12,16,53-57,Male,Other/Multi,Hispanic,HS grad,459.4351281903964,FL,FL-16,Republican
206,6,40,38-42,Female,Other/Multi,Hispanic,2-year,882.0550990432935,CA,CA-40,Republican
207,37,14,73-77,Female,Other/Multi,Hispanic,No HS,125.00262676462134,NC,NC-14,Democrat
208,6,35,38-42,Male,Other/Multi,Hispanic,HS grad,3540.861209296351,CA,CA-35,Democrat
209,28,3,38-42,Female,Black,Not Hispanic,HS grad,2448.825899999999,MS,MS-3,Democrat
210,39,6,58-62,Female,White,Not Hispanic,HS grad,11528.325355723802,OH,OH-6,Did not vote
211,35,1,53-57,Female,White,Not Hispanic,Post-grad,2518.602699999999,NM,NM-1,Democrat
212,12,4,48-52,Male,White,Not Hispanic,HS grad,3969.2301318752193,FL,FL-4,Other
213,45,7,68-72,Female,White,Not Hispanic,4-year,2915.069000000001,SC,SC-7,Republican
214,39,15,23-27,Female,White,Not Hispanic,4-year,6709.229204516779,OH,OH-15,Did not vote
215,41,5,23-27,Male,White,Not Hispanic,4-year,3505.7117999999987,OR,OR-5,Democrat
216,6,40,18-22,Female,Other/Multi,Hispanic,Some college,3341.3882750576154,CA,CA-40,Democrat
217,6,36,38-42,Female,White,Not Hispanic,Post-grad,4291.665710073496,CA,CA-36,Did not vote
218,51,2,48-52,Female,White,Not Hispanic,HS grad,2531.8555,VA,VA-2,Did not vote
219,22,3,18-22,Male,White,Not Hispanic,HS grad,6320.848700000001,LA,LA-3,Democrat
220,16,2,83+,Female,White,Not Hispanic,Some college,2536.4302999999986,ID,ID-2,Democrat
221,27,3,43-47,Male,White,Not Hispanic,Some college,2124.6797000000006,MN,MN-3,Republican
222,37,8,53-57,Female,White,Not Hispanic,HS grad,3305.950225464494,NC,NC-8,Republican
223,53,3,33-37,Male,White,Not Hispanic,HS grad,5662.518999999997,WA,WA-3,Democrat
224,13,13,23-27,Female,Black,Not Hispanic,2-year,770.6199,GA,GA-13,Did not vote
225,51,1,43-47,Female,Black,Not Hispanic,Some college,1304.2555999999995,VA,VA-1,Democrat
226,4,3,48-52,Male,Other/Multi,Hispanic,Some college,917.9473,AZ,AZ-3,Republican
227,34,1,73-77,Female,White,Not Hispanic,Post-grad,1185.3750999999993,NJ,NJ-1,Democrat
228,36,22,53-57,Female,White,Not Hispanic,4-year,4014.7937000000006,NY,NY-22,Democrat
229,6,27,58-62,Female,Other/Multi,Hispanic,4-year,460.3062427659961,CA,CA-27,Republican
230,6,44,48-52,Female,Asian,Not Hispanic,Some college,387.0330992982071,CA,CA-44,Democrat
231,24,4,23-27,Male,Black,Not Hispanic,4-year,2056.5655000000006,MD,MD-4,Republican
232,53,7,53-57,Male,White,Not Hispanic,2-year,977.5128,WA,WA-7,Democrat
233,36,5,28-32,Male,White,Not Hispanic,HS grad,375.1019,NY,NY-5,Did not vote
234,51,4,58-62,Male,White,Not Hispanic,HS grad,3483.6225999999992,VA,VA-4,Republican
235,45,7,73-77,Female,Black,Not Hispanic,HS grad,1661.1299,SC,SC-7,Other
236,26,7,43-47,Female,White,Not Hispanic,4-year,6020.649400000002,MI,MI-7,Democrat
237,44,1,23-27,Male,White,Not Hispanic,4-year,3927.675999999999,RI,RI-1,Republican
238,2,1,63-67,Female,Other/Multi,Hispanic,4-year,104.0,AK,AK-1,Democrat
239,6,29,28-32,Male,Other/Multi,Hispanic,4-year,2044.5032222817017,CA,CA-29,Republican
240,48,1,18-22,Female,White,Not Hispanic,Some college,4895.963612363346,TX,TX-1,Democrat
241,45,4,58-62,Male,Black,Not Hispanic,HS grad,1647.4807999999996,SC,SC-4,Democrat
242,12,17,63-67,Male,White,Not Hispanic,4-year,6203.384814614384,FL,FL-17,Republican
243,30,1,53-57,Female,Other/Multi,Not Hispanic,HS grad,417.0728,MT,MT-1,Democrat
244,36,10,23-27,Female,Asian,Not Hispanic,Post-grad,610.6716999999999,NY,NY-10,Democrat
245,48,18,48-52,Female,Other/Multi,Hispanic,4-year,265.3060094876752,TX,TX-18,Democrat
246,36,8,58-62,Female,Asian,Not Hispanic,2-year,84.85400000000001,NY,NY-8,Democrat
247,24,1,43-47,Female,White,Not Hispanic,4-year,4122.6635,MD,MD-1,Republican
248,20,3,18-22,Female,White,Not Hispanic,Some college,4272.5041,KS,KS-3,Democrat
249,24,7,23-27,Male,Black,Not Hispanic,HS grad,4979.010899999998,MD,MD-7,Democrat
250,37,3,78-82,Female,White,Not Hispanic,HS grad,2682.4689502634947,NC,NC-3,Republican
251,48,18,38-42,Male,Other/Multi,Hispanic,No HS,1490.2546887017363,TX,TX-18,Republican
252,26,1,78-82,Male,White,Not Hispanic,HS grad,4374.975600000008,MI,MI-1,Republican
253,12,23,83+,Female,Other/Multi,Hispanic,No HS,868.9588670929666,FL,FL-23,Republican
254,12,19,33-37,Male,White,Not Hispanic,Post-grad,1079.0904391877198,FL,FL-19,Did not vote
255,42,2,28-32,Male,White,Not Hispanic,HS grad,2006.0447000000004,PA,PA-2,Republican
256,47,4,53-57,Female,Native American,Not Hispanic,4-year,15.0,TN,TN-4,Did not vote
257,6,27,38-42,Male,Other/Multi,Hispanic,No HS,1418.7315712006975,CA,CA-27,Republican
258,6,8,38-42,Male,Asian,Not Hispanic,HS grad,743.9151345167656,CA,CA-8,Democrat
259,36,4,48-52,Female,White,Not Hispanic,Post-grad,3924.809400000001,NY,NY-4,Democrat
260,6,47,43-47,Male,Asian,Not Hispanic,Post-grad,1849.17540078502,CA,CA-47,Republican
261,47,7,78-82,Male,White,Not Hispanic,HS grad,2070.0538,TN,TN-7,Did not vote
262,17,5,33-37,Male,White,Not Hispanic,4-year,8435.43630000003,IL,IL-5,Republican
263,6,46,33-37,Female,Other/Multi,Hispanic,No HS,1174.1774718311185,CA,CA-46,Democrat
264,49,4,53-57,Female,White,Not Hispanic,Post-grad,1546.236192944521,UT,UT-4,Republican
265,8,4,23-27,Female,White,Not Hispanic,HS grad,2603.2567999999987,CO,CO-4,Democrat
266,13,12,38-42,Female,Black,Not Hispanic,Some college,2007.7476,GA,GA-12,Republican
267,6,50,68-72,Female,White,Not Hispanic,Some college,2711.998995273015,CA,CA-50,Republican
268,6,32,38-42,Female,White,Not Hispanic,Post-grad,3307.2444381052355,CA,CA-32,Republican
269,4,2,23-27,Male,White,Hispanic,2-year,132.9848,AZ,AZ-2,Other
270,6,3,43-47,Male,White,Not Hispanic,4-year,3547.761662829264,CA,CA-3,Republican
271,8,8,23-27,Female,White,Not Hispanic,Some college,2554.266,CO,CO-8,Republican
272,6,2,53-57,Male,Black,Not Hispanic,2-year,51.794974692491664,CA,CA-2,Republican
273,36,3,18-22,Male,White,Not Hispanic,Some college,4062.9020000000014,NY,NY-3,Other
274,39,1,23-27,Male,Black,Not Hispanic,HS grad,2167.5753273966984,OH,OH-1,Other
275,22,1,38-42,Male,White,Not Hispanic,4-year,4513.949100000004,LA,LA-1,Democrat
276,17,8,68-72,Male,White,Not Hispanic,Post-grad,2491.043099999998,IL,IL-8,Republican
277,28,2,48-52,Male,Black,Not Hispanic,4-year,1057.8954,MS,MS-2,Democrat
278,48,21,63-67,Female,Other/Multi,Hispanic,No HS,692.8655495209119,TX,TX-21,Other
279,48,10,83+,Female,White,Not Hispanic,Some college,1730.8122786884617,TX,TX-10,Republican
280,5,2,33-37,Male,White,Not Hispanic,HS grad,5034.262700000004,AR,AR-2,Republican
281,9,3,28-32,Female,White,Not Hispanic,HS grad,1480.547300000001,CT,CT-3,Democrat
282,12,19,38-42,Female,Other/Multi,Hispanic,Some college,764.5131036453664,FL,FL-19,Democrat
283,12,24,58-62,Male,Other/Multi,Hispanic,Post-grad,467.68617076670193,FL,FL-24,Republican
