index,cell_id,age_group,gender,municipality,education_level,past_vote,prob,expected_N,party,expected_N_raked,prob_raked,vote_2026
45,4153,71-104,Women,Linköping,Upper secondary school,Did not vote,0.175969980272347,839.112850928687,Did not vote,552.5192971559261,0.1158685744271628,Did not vote
46,9632,71-104,Women,Landskrona,"Primary school, 9/10 years",Did not vote,0.5882573550901639,204.654733835868,Did not vote,137.34949016644217,0.3947958901018746,Did not vote
47,10022,61-70,Men,Trelleborg,"Primary school, 9/10 years",Did not vote,0.4013379361607396,175.42481189585928,Did not vote,103.66022713753743,0.2371544889900192,Did not vote
48,1517,41-50,Women,Nacka,"Tertiary education, 2 years or longer",Social Democrats (S),0.2882975731903801,1163.8573029695644,Social Democrats (S),1331.110340352864,0.3297276047443309,Social Democrats (S)
49,22133,23-30,Women,Skellefteå,Upper secondary school,Social Democrats (S),0.1955495481011466,141.2258836386481,Social Democrats (S),220.3457706385048,0.3051035317619839,Social Democrats (S)
50,15262,18-22,Men,Forshaga,Upper secondary school,Did not vote,0.3743667882056684,94.41530398546956,Did not vote,55.51895390088219,0.2201385959590887,Did not vote
51,20736,41-50,Men,Åre,"Tertiary education, shorter than 2 years",Social Democrats (S),0.1772266084831419,26.37131934229152,Social Democrats (S),26.60584212615976,0.178802702460751,Social Democrats (S)
52,19475,51-60,Women,Gävle,Upper secondary school,Social Democrats (S),0.2965198901143064,758.7350948244874,Social Democrats (S),787.6335229162831,0.3078136325294212,Social Democrats (S)
53,10829,51-60,Men,Kungsbacka,Upper secondary school,Moderate Party (M),0.3070051084043693,826.2428482486791,Moderate Party (M),864.7282350231268,0.3213050328923297,Moderate Party (M)
54,20112,51-60,Men,Sundsvall,Upper secondary school,Sweden Democrats (SD),0.1777828997200087,592.550404766789,Sweden Democrats (SD),881.5123212525343,0.2644801443901993,Sweden Democrats (SD)
55,1318,18-22,Women,Stockholm,"Tertiary education, shorter than 2 years",Did not vote,0.252118303559339,2018.4843501264245,Did not vote,1518.3343644589215,0.189647189575314,Green Party (MP)
56,1646,18-22,Women,Solna,"Tertiary education, shorter than 2 years",Social Democrats (S),0.1250147963318094,95.11125704924063,Social Democrats (S),128.61706186652486,0.1690550234838655,Social Democrats (S)
57,697,41-50,Women,Salem,"Tertiary education, 2 years or longer",Social Democrats (S),0.3329368710319091,149.82159196435913,Social Democrats (S),156.54809175503823,0.3478846483445293,Social Democrats (S)
58,4232,71-104,Women,Norrköping,"Primary school, shorter than 9 years",Social Democrats (S),0.2834623809488384,628.1526361826259,Social Democrats (S),778.3301368576125,0.3512320112173341,Social Democrats (S)
59,6223,51-60,Men,Ljungby,"Tertiary education, 2 years or longer",Social Democrats (S),0.2688243772796341,56.48000166645113,Social Democrats (S),52.49835143725623,0.2498731624809911,Social Democrats (S)
60,3199,23-30,Men,Katrineholm,"Tertiary education, shorter than 2 years",Sweden Democrats (SD),0.1231207685321012,13.27241884776051,Sweden Democrats (SD),23.200060932384385,0.2152139233059775,Sweden Democrats (SD)
61,17173,71-104,Men,Surahammar,Upper secondary school,Social Democrats (S),0.2991876357947866,129.87735269851686,Social Democrats (S),180.70422328506064,0.4162732625778867,Social Democrats (S)
62,5121,71-104,Women,Jönköping,"Tertiary education, shorter than 2 years",Social Democrats (S),0.2821511644592483,401.8396884228615,Social Democrats (S),538.3511838401397,0.3780025163882458,Social Democrats (S)
63,3324,51-60,Women,Eskilstuna,Upper secondary school,Sweden Democrats (SD),0.1428162368163502,400.4281647856828,Sweden Democrats (SD),612.8097702463783,0.2185640096463293,Sweden Democrats (SD)
64,9947,61-70,Women,Ystad,"Primary school, shorter than 9 years",Did not vote,0.1,5.91,Did not vote,3.7784758689539526,0.0639336018435525,Did not vote
65,1363,51-60,Women,Stockholm,"Primary school, 9/10 years",Sweden Democrats (SD),0.060209791755108,155.55199699932174,Sweden Democrats (SD),268.5299511922973,0.1039403720504343,Sweden Democrats (SD)
66,16529,71-104,Women,Ljusnarsberg,Upper secondary school,Social Democrats (S),0.2997836436771012,76.14504549398372,Social Democrats (S),105.32800199527595,0.4146771732097479,Social Democrats (S)
67,1247,23-30,Women,Sollentuna,"Tertiary education, 2 years or longer",Did not vote,0.1930554393302784,139.15436066926472,Did not vote,99.6020039487213,0.1381825803950073,Social Democrats (S)
68,22950,51-60,Women,Luleå,"Tertiary education, 2 years or longer",Social Democrats (S),0.3511425253991529,641.1160228737734,Social Democrats (S),774.2083929370916,0.4240378973256061,Social Democrats (S)
69,15001,51-60,Women,Torsby,Upper secondary school,Sweden Democrats (SD),0.1844438711670245,64.83202071520911,Sweden Democrats (SD),87.26371429148784,0.2482609225931375,Sweden Democrats (SD)
70,1671,31-40,Women,Solna,Upper secondary school,Did not vote,0.4639060790933594,480.6066979407203,Did not vote,381.2101442390446,0.3679634596901975,Did not vote
71,120,41-50,Men,Vallentuna,"Tertiary education, 2 years or longer",Moderate Party (M),0.2190564478743906,144.5553499523104,Moderate Party (M),180.3418560221569,0.2732866434643989,Moderate Party (M)
72,16603,71-104,Men,Örebro,"Tertiary education, 2 years or longer",Social Democrats (S),0.3114687736968767,486.9502807976971,Social Democrats (S),512.843271416216,0.3280307479955327,Social Democrats (S)
73,13382,51-60,Men,Mölndal,Upper secondary school,Sweden Democrats (SD),0.1673415967264039,282.4558811144972,Sweden Democrats (SD),444.05975249677465,0.2630841593084748,Sweden Democrats (SD)
74,13866,41-50,Women,Trollhättan,Upper secondary school,Did not vote,0.2981683557173211,300.58351939863144,Did not vote,182.03159893866325,0.1805689901187017,Did not vote
75,14910,41-50,Women,Eda,Upper secondary school,Did not vote,0.4397415420858401,62.35535066777213,Did not vote,33.42223053722739,0.2356997922230422,Did not vote
76,1233,18-22,Women,Sollentuna,"Primary school, 9/10 years",Left Party (V),0.0115923350024543,19.8483959912024,Left Party (V),34.61236150401423,0.0202151392968194,Left Party (V)
77,5156,31-40,Women,Nässjö,Upper secondary school,Social Democrats (S),0.1387045806247382,102.4333327913692,Social Democrats (S),149.27065146552675,0.2021268130880524,Social Democrats (S)
78,1342,31-40,Women,Stockholm,"Tertiary education, shorter than 2 years",Social Democrats (S),0.1669349747277709,2279.346838430457,Social Democrats (S),3292.1909581761083,0.2411137283435823,Social Democrats (S)
79,18493,41-50,Men,Mora,Upper secondary school,Sweden Democrats (SD),0.1719117506323755,100.087021218169,Sweden Democrats (SD),172.15823854004088,0.2957029174511179,Sweden Democrats (SD)
80,11802,71-104,Men,Ale,"Primary school, 9/10 years",Left Party (V),0.0240285673947308,7.004327395564051,Left Party (V),7.682251157983754,0.0263542063738722,Left Party (V)
81,4383,61-70,Women,Motala,"Primary school, 9/10 years",Did not vote,0.4940978857765134,168.4873790497911,Did not vote,93.3606411030614,0.2737848712699747,Did not vote
82,1068,18-22,Men,Täby,Upper secondary school,Sweden Democrats (SD),0.087898949403516,160.9078167780765,Sweden Democrats (SD),303.1267653080761,0.1655887497585907,Sweden Democrats (SD)
83,4150,71-104,Women,Linköping,"Primary school, shorter than 9 years",Did not vote,0.4303718923735277,722.2501097812542,Did not vote,534.5752815261787,0.318540866122142,Did not vote
84,4232,71-104,Women,Norrköping,"Primary school, shorter than 9 years",Did not vote,0.5029817958755165,1114.6076596601445,Did not vote,740.8530402850997,0.3343199640275721,Did not vote
85,13876,51-60,Women,Trollhättan,"Tertiary education, 2 years or longer",Did not vote,0.0959609440067305,98.27360275729272,Did not vote,57.386765153134974,0.0560362905508592,Did not vote
86,12715,31-40,Women,Mariestad,"Tertiary education, 2 years or longer",Centre Party (C),0.1147366493267235,76.99976536316416,Centre Party (C),81.13563287687948,0.1208994678540895,Centre Party (C)
87,19387,51-60,Men,Ljusdal,Upper secondary school,Social Democrats (S),0.2007870237970289,159.08355895438598,Social Democrats (S),187.3401538628729,0.2364510335262816,Social Democrats (S)
88,9384,71-104,Men,Båstad,Upper secondary school,Social Democrats (S),0.3266277492779255,190.2606639543916,Social Democrats (S),153.5220447709813,0.2635571584051181,Social Democrats (S)
89,1345,41-50,Men,Stockholm,"Primary school, 9/10 years",Green Party (MP),0.021686622943363,84.42819178080657,Green Party (MP),81.01997691914987,0.0208111728234953,Green Party (MP)
90,13484,71-104,Men,Kungälv,"Primary school, 9/10 years",Moderate Party (M),0.1017672899074462,41.836532880951154,Moderate Party (M),48.4929738012688,0.1179590703022836,Moderate Party (M)
91,14502,31-40,Women,Skövde,"Tertiary education, 2 years or longer",Centre Party (C),0.0917305700545169,149.53000224586802,Centre Party (C),149.2996257684078,0.0915892434626144,Centre Party (C)
92,10264,51-60,Women,Ängelholm,Upper secondary school,Moderate Party (M),0.2730664598883627,342.12496759412966,Moderate Party (M),324.74020954345855,0.2591908448746576,Moderate Party (M)
93,14871,71-104,Women,Kil,Upper secondary school,Social Democrats (S),0.3884966378953849,228.86336938417125,Social Democrats (S),274.3061089215656,0.4656359003930836,Social Democrats (S)
94,9442,51-60,Men,Malmö,Upper secondary school,Sweden Democrats (SD),0.1497793437473958,984.6494057953804,Sweden Democrats (SD),1578.7662667613724,0.2401530676546048,Sweden Democrats (SD)
95,9651,23-30,Men,Helsingborg,"Tertiary education, shorter than 2 years",The Liberals (L),0.0503635974934451,42.21476741900571,The Liberals (L),32.50331954450988,0.0387775227207228,The Liberals (L)
96,7448,71-104,Men,Karlskrona,Upper secondary school,Moderate Party (M),0.1570941948771245,338.88359718893304,Moderate Party (M),307.25098639870527,0.1424304591130656,Moderate Party (M)
97,453,41-50,Women,Ekerö,"Tertiary education, shorter than 2 years",Social Democrats (S),0.1716150773534719,54.50494856746269,Social Democrats (S),61.34797253709284,0.1931611225978993,Social Democrats (S)
98,1337,31-40,Men,Stockholm,Upper secondary school,Social Democrats (S),0.0701133031390359,1371.0165635716512,Social Democrats (S),2115.7564768074108,0.1081990394341608,Social Democrats (S)
99,530,41-50,Men,Huddinge,Upper secondary school,Did not vote,0.3840369639369955,1006.9065157464086,Did not vote,665.8869554833427,0.2539711489695803,Did not vote
100,12677,71-104,Men,Bengtsfors,Upper secondary school,Did not vote,0.4080863703044879,185.7609157626029,Did not vote,49.56796385821536,0.1088927149785047,Did not vote
101,4166,23-30,Men,Norrköping,"Primary school, shorter than 9 years",Other party,0.1,10.76,Other party,16.744962044884375,0.1556223238372154,Other party
102,9499,31-40,Men,Lund,"Tertiary education, shorter than 2 years",Sweden Democrats (SD),0.0424035980594889,56.22293066707644,Sweden Democrats (SD),119.30936996628492,0.0899836865271022,Sweden Democrats (SD)
103,19746,18-22,Women,Hudiksvall,"Primary school, 9/10 years",Moderate Party (M),0.0578928257597593,49.052591266244114,Moderate Party (M),65.94671603612629,0.0778316016005267,Moderate Party (M)
104,2601,61-70,Women,Uppsala,"Tertiary education, 2 years or longer",Green Party (MP),0.217604527889218,678.3385947890594,Green Party (MP),516.7301329775518,0.1657620803187219,Green Party (MP)
105,7037,61-70,Women,Västervik,"Tertiary education, 2 years or longer",Social Democrats (S),0.2694552177134723,107.45874082413278,Social Democrats (S),134.80099871652794,0.3380165464306117,Social Democrats (S)
106,14370,61-70,Men,Lidköping,"Tertiary education, shorter than 2 years",Social Democrats (S),0.2633161486501953,90.60708675053225,Social Democrats (S),72.32252432752175,0.2101787978131988,Social Democrats (S)
107,2473,23-30,Women,Tierp,Upper secondary school,Did not vote,0.4563396439967174,102.58515197046208,Did not vote,65.23963249394211,0.2902118883182478,Did not vote
108,1273,41-50,Women,Sollentuna,Upper secondary school,Social Democrats (S),0.2764779555515665,304.5404680400506,Social Democrats (S),285.1477449191602,0.2588722150877532,Social Democrats (S)
109,3567,51-60,Women,Ödeshög,"Tertiary education, 2 years or longer",Social Democrats (S),0.2772331530066343,20.210296854183643,Social Democrats (S),17.06180610965584,0.2340439795563215,Social Democrats (S)
110,1383,71-104,Men,Stockholm,"Tertiary education, 2 years or longer",The Liberals (L),0.1272534594807632,1736.4625320366504,The Liberals (L),1408.9211268962426,0.1032501906751755,The Liberals (L)
111,20301,71-104,Women,Sollefteå,Upper secondary school,Sweden Democrats (SD),0.0988775704863011,96.97912113296414,Sweden Democrats (SD),144.69871622862104,0.147531317525103,Sweden Democrats (SD)
112,16561,31-40,Women,Örebro,"Tertiary education, 2 years or longer",Left Party (V),0.0833247744649735,371.8784684371768,Left Party (V),368.675832670758,0.0826071773853367,Left Party (V)
113,12442,71-104,Women,,"Primary school, 9/10 years",Green Party (MP),0.1,14.95,Green Party (MP),14.95,0.0999999999999999,Green Party (MP)
114,18639,23-30,Women,Borlänge,Upper secondary school,Sweden Democrats (SD),0.104055361950153,57.72991480994492,Sweden Democrats (SD),110.6279478434735,0.199401492147573,Sweden Democrats (SD)
115,16535,18-22,Women,Örebro,"Primary school, 9/10 years",Did not vote,0.7190779995796484,2414.232475788712,Did not vote,1946.5212884620955,0.5797704439334292,Did not vote
116,1526,51-60,Women,Nacka,Postgraduate education,Social Democrats (S),0.1662606647394268,25.155238575075284,Social Democrats (S),27.80805343232427,0.1837941403326125,Social Democrats (S)
117,19457,41-50,Men,Gävle,Upper secondary school,Moderate Party (M),0.1368983511372464,366.7506826966832,Moderate Party (M),475.16292686168606,0.1773657808367622,Moderate Party (M)
118,9855,51-60,Women,Eslöv,"Tertiary education, 2 years or longer",Sweden Democrats (SD),0.096452550318681,55.64347627884707,Sweden Democrats (SD),101.90288644835728,0.176638735393235,Sweden Democrats (SD)
119,16557,31-40,Men,Örebro,Upper secondary school,Left Party (V),0.0515474350228784,237.3656287933505,Left Party (V),247.74142177728783,0.0538006909697028,Left Party (V)
120,19486,61-70,Women,Gävle,"Tertiary education, shorter than 2 years",The Liberals (L),0.0848265976193755,83.07916970841642,The Liberals (L),65.63672457597802,0.0670172805554196,The Liberals (L)
121,4191,41-50,Men,Norrköping,"Tertiary education, 2 years or longer",Social Democrats (S),0.2457379788745438,453.8043255876201,Social Democrats (S),480.5318307346125,0.2602110958653882,Social Democrats (S)
122,1341,31-40,Women,Stockholm,"Tertiary education, 2 years or longer",Did not vote,0.2204158536898848,9637.220329297468,Did not vote,6927.695419243652,0.1584454695192599,Did not vote
123,2431,61-70,Men,Heby,"Primary school, shorter than 9 years",Did not vote,0.1,1.85,Did not vote,0.6592899315607718,0.0356372935978795,Did not vote
124,7445,71-104,Men,Karlskrona,"Primary school, shorter than 9 years",Social Democrats (S),0.273628461062155,260.6037463155965,Social Democrats (S),354.67166642952094,0.372397801794961,Social Democrats (S)
125,16620,18-22,Women,Kumla,"Tertiary education, shorter than 2 years",Centre Party (C),0.0701101044710825,4.269705362288925,Centre Party (C),5.481376248321969,0.0900061781333656,Centre Party (C)
126,18326,31-40,Women,Älvdalen,"Tertiary education, 2 years or longer",Centre Party (C),0.087668841794565,7.022274227744664,Centre Party (C),9.950712138176003,0.1242286159572535,Centre Party (C)
127,152,61-70,Women,Vallentuna,Upper secondary school,Social Democrats (S),0.2846675670086748,203.423443384399,Social Democrats (S),192.51983414384443,0.269409227741176,Social Democrats (S)
128,9516,41-50,Women,Lund,"Tertiary education, 2 years or longer",Social Democrats (S),0.3259571738869116,1305.8496300257452,Social Democrats (S),1552.2969344012638,0.3874736494436782,Social Democrats (S)
129,7262,51-60,Men,Gotland,Upper secondary school,Sweden Democrats (SD),0.1283264901719802,261.1700727980142,Sweden Democrats (SD),443.273867536115,0.2178035905739558,Sweden Democrats (SD)
130,2127,18-22,Men,Håbo,"Primary school, 9/10 years",Did not vote,0.7160973661659823,442.4765625539604,Did not vote,295.41114559445566,0.4780889231177467,Did not vote
131,1347,41-50,Men,Stockholm,"Tertiary education, 2 years or longer",Did not vote,0.1371256328210144,3401.881261840137,Did not vote,2505.0835078753653,0.1009768227774901,Did not vote
132,4761,41-50,Women,Mullsjö,Upper secondary school,Sweden Democrats (SD),0.0850401860911422,14.24423117026632,Sweden Democrats (SD),31.627641553215906,0.1888217406162143,Sweden Democrats (SD)
133,20951,23-30,Men,Östersund,"Tertiary education, shorter than 2 years",Moderate Party (M),0.1215189395354667,36.29770723924391,Moderate Party (M),39.70255679010901,0.1329178332444225,Moderate Party (M)
134,4221,61-70,Women,Norrköping,"Tertiary education, 2 years or longer",Green Party (MP),0.0886711649882781,118.1188588808853,Green Party (MP),153.95337908446544,0.1155719383563286,Green Party (MP)
135,9610,51-60,Women,Landskrona,"Tertiary education, 2 years or longer",Did not vote,0.1243350871823071,80.28316579361574,Did not vote,47.69260761379661,0.0738618671423209,Did not vote
136,13336,18-22,Women,Mölndal,"Primary school, 9/10 years",Did not vote,0.705542245697627,1056.4789587076268,Did not vote,822.5508274236756,0.5493193718603416,Green Party (MP)
137,5285,71-104,Women,Värnamo,Upper secondary school,Social Democrats (S),0.3510480367267744,456.01139970808,Social Democrats (S),550.8867478891434,0.4240852562656993,Social Democrats (S)
138,22157,41-50,Women,Skellefteå,Upper secondary school,Social Democrats (S),0.3098044511654373,426.2599443585253,Social Democrats (S),599.5761944376361,0.435770182744121,Social Democrats (S)
139,22000,51-60,Men,Umeå,Upper secondary school,Moderate Party (M),0.2214810407951641,684.022046391785,Moderate Party (M),524.3852058294377,0.1697918682260839,Moderate Party (M)
140,2610,71-104,Women,Uppsala,Postgraduate education,Green Party (MP),0.1520030444527173,91.67303610943384,Green Party (MP),69.38785311303556,0.1150519865910057,Green Party (MP)
141,9454,61-70,Men,Malmö,Upper secondary school,Did not vote,0.2472504310150709,1464.7115533332803,Did not vote,903.3348377081746,0.1524873122397324,Did not vote
142,4097,31-40,Men,Linköping,"Tertiary education, 2 years or longer",Centre Party (C),0.0984879181617233,408.380152657586,Centre Party (C),352.6925330991662,0.0850578881223118,Centre Party (C)
143,3363,23-30,Men,Strängnäs,"Tertiary education, shorter than 2 years",Other party,0.006733703060204,0.6915513042829561,Other party,1.6119442632734444,0.0156956598176576,Other party
144,573,18-22,Men,Botkyrka,"Primary school, 9/10 years",Did not vote,0.8573982199466716,1907.796779203339,Did not vote,1631.529636356934,0.7332387921248187,Did not vote
145,11058,41-50,Men,Öckerö,"Primary school, 9/10 years",Did not vote,0.5599991196657406,29.00795439868536,Did not vote,19.905822377290363,0.3842822852758757,Did not vote
146,9470,71-104,Women,Malmö,"Tertiary education, 2 years or longer",Left Party (V),0.1050059344771478,366.5127136990368,Left Party (V),421.32738812889744,0.1207103449830671,Left Party (V)
147,787,51-60,Men,Haninge,Upper secondary school,Did not vote,0.2928921417270653,819.0142959113929,Did not vote,412.3766222477997,0.1474722391187639,Did not vote
148,3306,41-50,Men,Eskilstuna,Upper secondary school,Sweden Democrats (SD),0.1511730143295137,457.70653548546863,Sweden Democrats (SD),743.9937716404835,0.2457290258745858,Sweden Democrats (SD)
149,19771,31-40,Women,Hudiksvall,"Tertiary education, 2 years or longer",Moderate Party (M),0.0768143074290265,57.7950849095996,Moderate Party (M),59.58462056049355,0.0791927439666315,Moderate Party (M)
150,2565,31-40,Women,Uppsala,"Tertiary education, 2 years or longer",Social Democrats (S),0.3265674827628048,2883.362275557632,Social Democrats (S),3134.9090136234977,0.3550574806183387,Social Democrats (S)
151,1366,51-60,Women,Stockholm,"Tertiary education, shorter than 2 years",Green Party (MP),0.1460921698941956,1321.4621135609575,Green Party (MP),1022.955724666632,0.1130912645838362,Green Party (MP)
152,9432,41-50,Women,Malmö,"Primary school, 9/10 years",Did not vote,0.7107618531048076,804.5824177146421,Did not vote,664.5745636286982,0.5870800032055639,Did not vote
153,22934,41-50,Men,Luleå,Upper secondary school,Centre Party (C),0.059125881602562,112.36873798566924,Centre Party (C),94.23544408227713,0.0495845535818348,Centre Party (C)
