index,cell_id,age_group,gender,municipality,education_level,party,prob,expected_N,expected_N_raked,prob_raked,vote_2026
37,810,40-44,Women,Aarhus,H70 Masters programs,Other - Left,0.3579482506598007,990.1401825879392,916.7532388453048,0.331417938491996,Other - Left
38,18997,50-54,Men,Næstved,H30 Vocational Education and Training (VET),V: Venstre,0.0858424816641255,110.82138652363818,117.17079111323416,0.0907607439613063,Venstre (V)
39,9582,60-64,Men,Halsnæs,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.4673015409247205,270.5068981714784,221.09919650564288,0.3819495766012163,Socialdemokratiet (A)
40,1465,75-79,Women,Allerød,H50 Vocational bachelors educations,Other - Left,0.1513792679689691,25.34477879939909,26.83772831637746,0.1602963552627106,Other - Left
41,11382,55-59,Men,Hjørring,H50 Vocational bachelors educations,Did not vote,0.0203402539685228,4.049448149371548,18.6365882486924,0.0936110116989698,Did not vote
42,480,30-34,Women,Aalborg,H30 Vocational Education and Training (VET),Æ: Danmarksdemokraterne,0.122729224901903,172.38503799873962,227.17819028809828,0.1617391133961359,Danmarksdemokraterne (Æ)
43,25708,80-84,Women,Sønderborg,H1020 Primary school 7th-9th grade,A: Socialdemokratiet,0.5696481286254227,523.3007010710631,434.13008950367583,0.4725799001598761,Socialdemokratiet (A)
44,3539,70-74,Women,Copenhagen,H50 Vocational bachelors educations,F: SF - Socialistisk Folkeparti,0.1997358945859085,538.104343794546,487.0618912945757,0.1807897365972027,Socialistisk Folkeparti (F)
45,17979,55-59,Women,Morsø,H30 Vocational Education and Training (VET),Did not vote,0.0413900162533014,13.192573516291066,45.77953176231054,0.1436274401935844,Did not vote
46,5346,35-39,Men,Faxe,H30 Vocational Education and Training (VET),Other - Right,0.1886438578563322,90.27563896192292,88.22798450140594,0.1843649910276901,Other - Right
47,12000,65-69,Men,Holstebro,H50 Vocational bachelors educations,V: Venstre,0.1655171813742871,29.05098558827698,30.29909959882997,0.1726282761918017,Venstre (V)
48,12686,30-34,Women,Hvidovre,H30 Vocational Education and Training (VET),Æ: Danmarksdemokraterne,0.1179813511344709,38.12637615455999,22.71278937680632,0.0702842978793769,Danmarksdemokraterne (Æ)
49,3313,35-39,Men,Copenhagen,H70 Masters programs,Other - Left,0.5277893887046438,3808.206843034288,3241.122646676346,0.4491957004738474,Other - Left
50,27885,55-59,Men,Vesthimmerlands,H30 Vocational Education and Training (VET),V: Venstre,0.1464516598202065,98.8948219425444,113.1792867390811,0.1676052807884662,Venstre (V)
51,21080,45-49,Men,Ringsted,H30 Vocational Education and Training (VET),Other - Right,0.2155826208879533,112.09539855924848,111.58293847843302,0.2145970542300655,Other - Right
52,27150,60-64,Women,Varde,H30 Vocational Education and Training (VET),V: Venstre,0.2328262089981276,178.00696047369365,186.9102467031444,0.2444713625073612,Venstre (V)
53,25324,35-39,Women,Syddjurs,H70 Masters programs,V: Venstre,0.1017118643021932,27.244887280790405,27.24565124031747,0.1017147163509812,Venstre (V)
54,14985,65-69,Men,Kolding,H1020 Primary school 7th-9th grade,M: Moderaterne,0.0626746589982032,21.41450631398531,24.09304611043364,0.070514044407984,Moderaterne (M)
55,26232,40-44,Women,Tårnby,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3460602027386164,126.61362005866664,133.46213278707566,0.3647785499602904,Socialdemokratiet (A)
56,778,25-29,Women,Aarhus,H50 Vocational bachelors educations,V: Venstre,0.0960198466808393,517.0636692700865,701.7749086367512,0.130321125108024,Venstre (V)
57,3343,50-54,Men,Copenhagen,H70 Masters programs,Other - Left,0.4580891402301301,2081.0002992207164,1780.5555839758051,0.3919524552211145,Other - Left
58,557,70-74,Women,Aalborg,H1020 Primary school 7th-9th grade,A: Socialdemokratiet,0.5572187865588748,591.6567660322512,604.9077675419173,0.5696985001458966,Socialdemokratiet (A)
59,5939,35-39,Men,Fredericia,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.2478788085999475,133.93893605391025,109.40830618298916,0.2024803345956239,Socialdemokratiet (A)
60,7719,25-29,Men,Gladsaxe,"H2010 Upper secondary education, General (stx, hf, student courses)",V: Venstre,0.0707745920836031,16.422886243939022,13.509708859167738,0.0582202250855088,Venstre (V)
61,4083,50-54,Women,Egedal,H40 Short cycle higher education,A: Socialdemokratiet,0.2958429201228468,46.10679200209395,37.36587282663672,0.2397570607269554,Socialdemokratiet (A)
62,22753,75-79,Women,Silkeborg,H50 Vocational bachelors educations,Æ: Danmarksdemokraterne,0.0260921105841506,12.37563222098786,16.91296359821787,0.0356583735384461,Danmarksdemokraterne (Æ)
63,6680,30-34,Women,Frederikshavn,H50 Vocational bachelors educations,Other - Right,0.067728579091255,21.691564736961244,23.53733103988133,0.0734917008644983,Other - Right
64,4264,65-69,Men,Esbjerg,H40 Short cycle higher education,Æ: Danmarksdemokraterne,0.1245904835938413,24.88676717201764,30.42853061735605,0.1523341830002358,Danmarksdemokraterne (Æ)
65,12536,30-34,Men,Hvidovre,H30 Vocational Education and Training (VET),V: Venstre,0.0516900939807484,23.58389827362798,25.88803976504984,0.0567402043931445,Venstre (V)
66,2314,55-59,Women,Billund,H40 Short cycle higher education,Did not vote,0.035809812337376,1.613874402980765,5.377836228605224,0.1193273192584307,Did not vote
67,21853,55-59,Women,Rudersdal,H30 Vocational Education and Training (VET),V: Venstre,0.2547205447378425,111.3205845637334,100.55416215863283,0.2300851281106972,Venstre (V)
68,700,65-69,Men,Aarhus,H1020 Primary school 7th-9th grade,M: Moderaterne,0.0818850188125426,39.14597305690705,40.88900702096843,0.085531073765132,Moderaterne (M)
69,28334,55-59,Women,Viborg,H30 Vocational Education and Training (VET),V: Venstre,0.1666763465390527,232.37848105158787,234.46305427927368,0.1681715325309374,Venstre (V)
70,20962,60-64,Women,Ringkøbing-Skjern,H50 Vocational bachelors educations,F: SF - Socialistisk Folkeparti,0.0949456070566266,33.43532709964242,31.368626441092616,0.0890768399276087,Socialistisk Folkeparti (F)
71,3349,55-59,Men,Copenhagen,H30 Vocational Education and Training (VET),I: Liberal Alliance,0.0695741111062754,289.9661642223443,356.9782950476098,0.0856529161903412,Liberal Alliance (I)
72,185,35-39,Women,Aabenraa,H30 Vocational Education and Training (VET),Did not vote,0.049533882955154,20.590511077049378,83.16882885141864,0.2000763855946871,Did not vote
73,22537,45-49,Men,Silkeborg,H1030 Primary school 10th grade,Æ: Danmarksdemokraterne,0.0839477708727368,16.190581835976047,16.87000368346911,0.0874705565364702,Danmarksdemokraterne (Æ)
74,19558,35-39,Men,Odense,H50 Vocational bachelors educations,A: Socialdemokratiet,0.1418372041107505,156.08540993612144,164.03435899855825,0.1490605359461617,Socialdemokratiet (A)
75,19750,55-59,Women,Odense,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3191312040671483,724.811174018093,697.0139625529941,0.3068922128890892,Socialdemokratiet (A)
76,20941,50-54,Women,Ringkøbing-Skjern,H40 Short cycle higher education,Æ: Danmarksdemokraterne,0.0593849786156214,6.416336405875129,13.64168550927504,0.1262575948336423,Danmarksdemokraterne (Æ)
77,696,60-64,Men,Aarhus,H50 Vocational bachelors educations,M: Moderaterne,0.077004238764851,106.77514663221837,120.01481813421556,0.0865524422341438,Moderaterne (M)
78,6728,55-59,Women,Frederikshavn,H30 Vocational Education and Training (VET),Æ: Danmarksdemokraterne,0.1030620473294517,105.74060005251462,147.31973165670257,0.1435879231726011,Danmarksdemokraterne (Æ)
79,1068,20-24,Women,Albertslund,H1030 Primary school 10th grade,Did not vote,0.1576537439030282,18.956012976296964,58.99685576286779,0.4906662176879354,Did not vote
80,23724,45-49,Men,Solrød,H30 Vocational Education and Training (VET),Did not vote,0.0280503601482999,8.683410879567024,29.02011568081293,0.0937448092324659,Did not vote
81,15930,90-94,Men,Lejre,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.249208066861256,6.228694972215433,4.872356431221839,0.1949414014813962,Socialdemokratiet (A)
82,6120,50-54,Women,Fredericia,H60 Bachelors programs,Other - Right,0.1382378243077644,4.829177680921524,5.191774017281906,0.148617340646219,Other - Right
83,646,35-39,Men,Aarhus,H50 Vocational bachelors educations,Other - Left,0.2559245144246427,510.1899871820406,460.5723594060364,0.2310350269503508,Other - Left
84,5313,20-24,Men,Faxe,H1020 Primary school 7th-9th grade,A: Socialdemokratiet,0.2399951896856837,42.43199057088586,39.50554444451126,0.2234432206699736,Socialdemokratiet (A)
85,5933,30-34,Men,Fredericia,H70 Masters programs,A: Socialdemokratiet,0.162280818934723,21.036497583145326,17.551344859416506,0.135395476644073,Socialdemokratiet (A)
86,19752,55-59,Women,Odense,H50 Vocational bachelors educations,Other - Left,0.1504617366630981,227.4431346741277,225.77584661371543,0.1493587662109597,Other - Left
87,16701,40-44,Men,Lyngby-Taarbæk,H30 Vocational Education and Training (VET),V: Venstre,0.0946978184061562,21.63318150735088,23.35251094303727,0.1022240690700109,Venstre (V)
88,25057,50-54,Women,Svendborg,H50 Vocational bachelors educations,M: Moderaterne,0.0969223862483146,64.00149828074272,48.40664240456594,0.0733058978016309,Moderaterne (M)
89,10772,55-59,Men,Herning,H1030 Primary school 10th grade,A: Socialdemokratiet,0.3342837409488109,103.59231789628488,66.88663421195065,0.2158375713364305,Socialdemokratiet (A)
90,1300,65-69,Men,Allerød,H50 Vocational bachelors educations,Other - Left,0.0978966302078355,11.13948479259042,11.341791121010496,0.0996745497607415,Other - Left
91,19606,60-64,Men,Odense,H30 Vocational Education and Training (VET),Æ: Danmarksdemokraterne,0.0521307027949118,123.43519601067672,108.63538288393124,0.0458802597732645,Danmarksdemokraterne (Æ)
92,20495,50-54,Men,Rebild,H30 Vocational Education and Training (VET),Did not vote,0.0266777455270027,12.080623539603296,41.95294849757535,0.0926450592932326,Did not vote
93,13330,50-54,Women,Hørsholm,H70 Masters programs,F: SF - Socialistisk Folkeparti,0.0829880486936955,25.0028044999174,12.552509442440194,0.0416636567646137,Socialistisk Folkeparti (F)
94,20932,45-49,Women,Ringkøbing-Skjern,H50 Vocational bachelors educations,Other - Right,0.0944149551687908,38.38854697908514,49.29889192940163,0.1212484722050411,Other - Right
95,11352,40-44,Men,Hjørring,H50 Vocational bachelors educations,A: Socialdemokratiet,0.2240423190876045,41.44782903120682,43.82152968111162,0.2368731334114142,Socialdemokratiet (A)
96,12096,40-44,Women,Holstebro,H30 Vocational Education and Training (VET),Æ: Danmarksdemokraterne,0.1002842625576255,45.99550707369227,65.07451478711575,0.1418823302951214,Danmarksdemokraterne (Æ)
97,9140,65-69,Women,Guldborgsund,H50 Vocational bachelors educations,A: Socialdemokratiet,0.4561571179359246,204.28141505508648,186.82355500505133,0.4171739969133621,Socialdemokratiet (A)
98,398,65-69,Men,Aalborg,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.4467323564882331,1040.3449975015417,1051.9892731420684,0.4517325003914418,Socialdemokratiet (A)
99,858,65-69,Women,Aarhus,H50 Vocational bachelors educations,V: Venstre,0.0786282307055434,208.45301163941176,275.33127654023207,0.1038546335310612,Venstre (V)
100,461,20-24,Women,Aalborg,H50 Vocational bachelors educations,I: Liberal Alliance,0.1,22.1157837954472,15.342669608360229,0.0693742973356373,Liberal Alliance (I)
101,16660,20-24,Men,Lyngby-Taarbæk,"H2020 Upper secondary education, General (hhx, htx)",Other - Left,0.189056413207484,85.76510018335848,58.10245699530056,0.1280782287269458,Other - Left
102,5462,20-24,Women,Faxe,"H2010 Upper secondary education, General (stx, hf, student courses)",M: Moderaterne,0.0568627818843882,13.981560302758783,10.59928274267416,0.0431071132031464,Moderaterne (M)
103,11711,70-74,Men,Holbæk,H40 Short cycle higher education,M: Moderaterne,0.1583666454731793,13.018964222127815,14.659947487323366,0.1783280656409175,Moderaterne (M)
104,25674,60-64,Women,Sønderborg,H50 Vocational bachelors educations,Did not vote,0.0273570415068725,14.356977750356844,61.6969951673945,0.1175628525022808,Did not vote
105,3504,55-59,Women,Copenhagen,H30 Vocational Education and Training (VET),V: Venstre,0.0933814441325295,338.5467389507802,363.4618591196006,0.1002537888767458,Venstre (V)
106,8555,75-79,Women,Greve,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.4458722205575525,345.27898887756305,287.2457046182518,0.3709315779106805,Socialdemokratiet (A)
107,20354,55-59,Women,Randers,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3501912198229718,520.9942728435554,464.53915338031663,0.3122443782153295,Socialdemokratiet (A)
108,3456,30-34,Women,Copenhagen,H50 Vocational bachelors educations,F: SF - Socialistisk Folkeparti,0.2238095509891934,1440.624221891369,1312.20224865241,0.2038584327648845,Socialistisk Folkeparti (F)
109,714,70-74,Men,Aarhus,H30 Vocational Education and Training (VET),M: Moderaterne,0.1001193262648982,246.8037330614817,253.64697298689,0.1028953805907468,Moderaterne (M)
110,4409,60-64,Women,Esbjerg,H70 Masters programs,A: Socialdemokratiet,0.3231493459174359,38.67854714933533,33.292284719844936,0.2781485041249749,Socialdemokratiet (A)
111,3274,20-24,Men,Copenhagen,H1030 Primary school 10th grade,Did not vote,0.090295366055429,149.94315110690118,550.361759900972,0.3314263853087797,Did not vote
112,26588,70-74,Women,Tønder,H30 Vocational Education and Training (VET),Other - Right,0.0977099288874299,40.773716961626256,47.56907998542588,0.1139943024323933,Other - Right
113,22083,20-24,Women,Rødovre,"H2010 Upper secondary education, General (stx, hf, student courses)",Other - Left,0.2367023797143539,122.17039812415248,115.5902822867438,0.2239535542916198,Other - Left
114,16552,40-44,Women,Lolland,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.3925877707136835,117.00890565167272,103.9577374275844,0.3487985479210434,Socialdemokratiet (A)
115,24226,75-79,Women,Sorø,H1020 Primary school 7th-9th grade,M: Moderaterne,0.0561415946632606,14.595133366832195,12.752996698695574,0.0490556374789377,Moderaterne (M)
116,21887,70-74,Women,Rudersdal,H70 Masters programs,Other - Left,0.2289961796590496,61.160600200407856,52.889432777565816,0.1980274557592703,Other - Left
117,3319,40-44,Men,Copenhagen,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.2198358069768205,569.2367439508051,511.8957914832376,0.1976910759971622,Socialdemokratiet (A)
118,25221,60-64,Men,Syddjurs,H30 Vocational Education and Training (VET),Æ: Danmarksdemokraterne,0.0571469580906768,45.91818395998115,53.53900795195894,0.0666313686602571,Danmarksdemokraterne (Æ)
119,12443,60-64,Women,Horsens,H30 Vocational Education and Training (VET),M: Moderaterne,0.0334544514955798,41.12090167397248,31.19596489852783,0.0253798883796408,Moderaterne (M)
120,22025,65-69,Men,Rødovre,H50 Vocational bachelors educations,I: Liberal Alliance,0.0429886970161902,4.781756435225545,3.791317862708536,0.0340845078790299,Liberal Alliance (I)
121,25364,55-59,Women,Syddjurs,H70 Masters programs,I: Liberal Alliance,0.0871137430911624,9.964946069162298,6.0874606402285405,0.0532166936589363,Liberal Alliance (I)
122,5632,30-34,Men,Fredensborg,H50 Vocational bachelors educations,M: Moderaterne,0.1154718856129264,16.738124862161083,20.11440337228479,0.1387639358950779,Moderaterne (M)
123,870,70-74,Women,Aarhus,H70 Masters programs,F: SF - Socialistisk Folkeparti,0.2591095083824735,175.0621241882751,110.07738902360916,0.1629255801972265,Socialistisk Folkeparti (F)
124,3456,30-34,Women,Copenhagen,H50 Vocational bachelors educations,Other - Left,0.459690283220014,2958.9485955710256,2659.2779590386835,0.4131346654622509,Other - Left
125,9130,60-64,Women,Guldborgsund,H50 Vocational bachelors educations,M: Moderaterne,0.0350852324396133,18.28797073365103,16.12266820555187,0.0309311278860309,Moderaterne (M)
126,22570,60-64,Men,Silkeborg,H30 Vocational Education and Training (VET),F: SF - Socialistisk Folkeparti,0.0247989488220363,37.01150693246107,30.457767322276727,0.020407723858338,Socialistisk Folkeparti (F)
127,23623,70-74,Women,Slagelse,H1020 Primary school 7th-9th grade,I: Liberal Alliance,0.0416302050191694,20.78064992612058,13.065712581550704,0.0261747488853944,Liberal Alliance (I)
128,225,55-59,Women,Aabenraa,H30 Vocational Education and Training (VET),V: Venstre,0.1421605458567964,138.3929365815767,169.1796720749789,0.1737854194305356,Venstre (V)
129,11783,30-34,Women,Holbæk,H70 Masters programs,I: Liberal Alliance,0.0415832149373552,11.034339194515036,10.462799215869902,0.0394293505909424,Liberal Alliance (I)
130,8843,70-74,Women,Gribskov,H1020 Primary school 7th-9th grade,A: Socialdemokratiet,0.49919824124481,99.16589258377796,81.49329191076322,0.410234879504909,Socialdemokratiet (A)
131,3446,25-29,Women,Copenhagen,H60 Bachelors programs,Other - Left,0.5638052785447977,4412.099959355377,3733.846711664687,0.4771339055566768,Other - Left
132,1319,75-79,Men,Allerød,H40 Short cycle higher education,Æ: Danmarksdemokraterne,0.0654992191199865,1.8442348812108296,1.890076124012416,0.0671273011162571,Danmarksdemokraterne (Æ)
133,6260,45-49,Men,Frederiksberg,H50 Vocational bachelors educations,Æ: Danmarksdemokraterne,0.0262366294374257,8.895798038140848,5.0505866667810135,0.0148958384902396,Danmarksdemokraterne (Æ)
134,27279,50-54,Men,Vejen,H40 Short cycle higher education,Other - Right,0.166123782022736,16.784408049164014,19.182514965219287,0.1898590599916141,Other - Right
135,5855,65-69,Women,Fredensborg,H70 Masters programs,A: Socialdemokratiet,0.2651657722504913,41.56402453480313,31.43477308959613,0.2005442440936428,Socialdemokratiet (A)
136,11970,50-54,Men,Holstebro,H50 Vocational bachelors educations,V: Venstre,0.1822185030910127,49.35427768938145,53.07234547599068,0.1959457984377465,Venstre (V)
137,19536,25-29,Men,Odense,H30 Vocational Education and Training (VET),M: Moderaterne,0.1659546694810852,299.62473853660305,324.6096772615668,0.1797932038703275,Moderaterne (M)
138,6885,60-64,Men,Frederikssund,H1020 Primary school 7th-9th grade,M: Moderaterne,0.0857882247386228,14.146172052160225,11.75275224358121,0.0712735393753203,Moderaterne (M)
139,27998,35-39,Women,Vesthimmerlands,H70 Masters programs,Other - Right,0.1168159829432345,6.3599812935761015,6.626314028297667,0.1217078086830183,Other - Right
140,27722,50-54,Women,Vejle,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.2613409356099522,332.31193499090443,286.8609139828274,0.2255967714558614,Socialdemokratiet (A)
141,3512,60-64,Women,Copenhagen,H1030 Primary school 10th grade,Did not vote,0.1,126.83451002541656,468.755220868511,0.3695801882110606,Did not vote
142,11426,80-84,Men,Hjørring,H1020 Primary school 7th-9th grade,M: Moderaterne,0.0875231990308236,39.91233116915963,22.88058878994611,0.0501745267175044,Moderaterne (M)
143,4716,65-69,Women,Faaborg-Midtfyn,H50 Vocational bachelors educations,A: Socialdemokratiet,0.4706232082533974,191.67400617832035,169.23584837400503,0.4155300945667212,Socialdemokratiet (A)
144,4347,30-34,Women,Esbjerg,H50 Vocational bachelors educations,Did not vote,0.019648168220362,22.836574219299045,104.27452017679184,0.0897158783036603,Did not vote
145,494,35-39,Women,Aalborg,H70 Masters programs,I: Liberal Alliance,0.0788605764354019,114.17620267285334,94.41176516233972,0.0652094398718002,Liberal Alliance (I)
146,15244,40-44,Men,Køge,H30 Vocational Education and Training (VET),V: Venstre,0.1358978281967699,76.35477976300636,63.63401804197724,0.1132571513948439,Venstre (V)
147,11576,80-84,Women,Hjørring,H1020 Primary school 7th-9th grade,A: Socialdemokratiet,0.5358412975615758,405.2536213381871,370.1212051413715,0.4893879199971468,Socialdemokratiet (A)
148,610,20-24,Men,Aarhus,"H2010 Upper secondary education, General (stx, hf, student courses)",I: Liberal Alliance,0.1385221745209036,1057.3827976855164,1325.2625181702483,0.1736156917152635,Liberal Alliance (I)
149,4240,55-59,Men,Esbjerg,H1030 Primary school 10th grade,Did not vote,0.1093526216492038,38.93810065070604,135.088943508835,0.3793798331620585,Did not vote
150,25688,70-74,Women,Sønderborg,H1020 Primary school 7th-9th grade,Did not vote,0.0238378979259565,11.78235333074932,50.65814486552071,0.1024908736416074,Did not vote
151,3478,40-44,Women,Copenhagen,H70 Masters programs,Other - Left,0.515970567286023,3198.094320658879,2838.183319711781,0.4579036484551564,Other - Left
152,2499,75-79,Men,Bornholm,H30 Vocational Education and Training (VET),Other - Left,0.0221948624776044,13.256045927512492,13.518804139881338,0.0226348038010034,Other - Left
153,11219,50-54,Women,Hillerød,H30 Vocational Education and Training (VET),A: Socialdemokratiet,0.2434053996236133,139.6430252380107,126.8264714664656,0.221065448256595,Socialdemokratiet (A)
154,28316,45-49,Women,Viborg,H50 Vocational bachelors educations,F: SF - Socialistisk Folkeparti,0.2502866033984695,230.42578636205351,211.45276228012,0.2296782599112385,Socialistisk Folkeparti (F)
155,3486,45-49,Women,Copenhagen,H50 Vocational bachelors educations,Other - Left,0.4513343976104428,1661.3513511306571,1450.5916371033236,0.3940779307551093,Other - Left
156,18454,75-79,Men,Nordfyns,H1020 Primary school 7th-9th grade,M: Moderaterne,0.0762755236290412,16.508385296995083,11.165076732934038,0.0515872424129805,Moderaterne (M)
157,20525,65-69,Men,Rebild,H30 Vocational Education and Training (VET),Æ: Danmarksdemokraterne,0.0902932805595653,40.37639315412638,94.02474638597263,0.2102664983611336,Danmarksdemokraterne (Æ)
